 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,mpar_wt_(green)_(0-170).tif,40000,8.077,44.660,0,0,255,100.000,100.000,99.651,111.285,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,323085,0,5.348,26.603,3.167,323085,0,0,135.000,200.000,1.000,1.000,1.000
2,mpar_wt_(green)_(0-170).tif,31,255.000,0.000,255,255,255,104.597,2.887,104.597,2.887,22.971,100,0,9,6,8.878,4.446,20.781,0.738,9.487,7905,255,NaN,NaN,100.000,7905,100,4,18.435,5.571,1.997,0.501,0.775
3,mpar_wt_(green)_(0-170).tif,11,255.000,0.000,255,255,255,193.864,7.591,193.864,7.591,11.071,192,6,4,3,4.384,3.195,164.929,1.000,5.000,2805,255,NaN,NaN,100.000,2805,192,6,143.130,3.000,1.372,0.729,0.957
4,mpar_wt_(green)_(0-170).tif,22,255.000,0.000,255,255,255,81.455,9.545,81.455,9.545,18.142,78,7,7,5,7.938,3.529,145.176,0.840,8.602,5610,255,NaN,NaN,100.000,5610,78,7,144.462,4.243,2.250,0.445,0.846
5,mpar_wt_(green)_(0-170).tif,8,255.000,0.000,255,255,255,118.625,11.625,118.625,11.625,9.071,117,10,3,3,3.538,2.879,45.000,1.000,4.243,2040,255,NaN,NaN,100.000,2040,117,13,45.000,3.000,1.229,0.814,0.941
6,mpar_wt_(green)_(0-170).tif,5,255.000,0.000,255,255,255,36.300,14.900,36.300,14.900,7.071,35,14,3,2,3.144,2.025,18.435,1.000,3.606,1275,255,NaN,NaN,100.000,1275,35,16,33.690,2.000,1.553,0.644,0.909
7,mpar_wt_(green)_(0-170).tif,16,255.000,0.000,255,255,255,51.000,19.000,51.000,19.000,18.728,47,17,8,4,7.612,2.676,172.027,0.573,8.246,4080,255,NaN,NaN,100.000,4080,47,18,165.964,3.395,2.845,0.352,0.696
8,mpar_wt_(green)_(0-170).tif,7,255.000,0.000,255,255,255,62.500,18.500,62.500,18.500,8.485,61,17,3,3,3.772,2.363,135.000,1.000,4.243,1785,255,NaN,NaN,100.000,1785,61,17,135.000,2.828,1.596,0.626,0.875
9,mpar_wt_(green)_(0-170).tif,14,255.000,0.000,255,255,255,118.071,22.071,118.071,22.071,13.899,116,20,4,5,4.836,3.686,65.015,0.911,5.831,3570,255,NaN,NaN,100.000,3570,117,25,59.036,4.000,1.312,0.762,0.848
10,mpar_wt_(green)_(0-170).tif,21,255.000,0.000,255,255,255,129.690,25.548,129.690,25.548,17.314,128,22,4,7,7.094,3.769,99.063,0.880,7.616,5355,255,NaN,NaN,100.000,5355,128,22,113.199,4.000,1.882,0.531,0.875
11,mpar_wt_(green)_(0-170).tif,2,255.000,0.000,255,255,255,15.000,27.000,15.000,27.000,5.657,14,26,2,2,2.596,0.981,45.000,0.785,2.828,510,255,NaN,NaN,100.000,510,14,28,45.000,1.414,2.646,0.378,0.667
12,mpar_wt_(green)_(0-170).tif,2,255.000,0.000,255,255,255,76.000,32.500,76.000,32.500,4.243,75,32,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100.000,510,75,32,153.435,1.000,2.000,0.500,1.000
13,mpar_wt_(green)_(0-170).tif,58,255.000,0.000,255,255,255,88.914,37.310,88.914,37.310,32.042,84,32,11,10,10.643,6.938,148.340,0.710,12.207,14790,255,NaN,NaN,100.000,14790,85,32,145.008,7.938,1.534,0.652,0.773
14,mpar_wt_(green)_(0-170).tif,21,255.000,0.000,255,255,255,43.357,36.167,43.357,36.167,16.728,40,34,7,4,6.633,4.031,176.988,0.943,7.280,5355,255,NaN,NaN,100.000,5355,40,35,164.055,4.000,1.646,0.608,0.875
15,mpar_wt_(green)_(0-170).tif,5,255.000,0.000,255,255,255,117.700,41.900,117.700,41.900,7.657,116,41,3,2,3.144,2.025,161.565,1.000,3.606,1275,255,NaN,NaN,100.000,1275,116,41,146.310,2.000,1.553,0.644,0.909
16,mpar_wt_(green)_(0-170).tif,7,255.000,0.000,255,255,255,189.214,42.643,189.214,42.643,12.485,187,41,5,3,4.214,2.115,10.901,0.564,5.385,1785,255,NaN,NaN,100.000,1785,187,44,21.801,3.000,1.992,0.502,0.636
17,mpar_wt_(green)_(0-170).tif,9,255.000,0.000,255,255,255,124.611,49.167,124.611,49.167,10.485,123,47,3,4,3.919,2.924,110.301,1.000,4.472,2295,255,NaN,NaN,100.000,2295,124,47,116.565,3.000,1.340,0.746,0.857
18,mpar_wt_(green)_(0-170).tif,7,255.000,0.000,255,255,255,98.500,51.929,98.500,51.929,12.485,96,51,5,3,3.740,2.383,0.000,0.564,5.099,1785,255,NaN,NaN,100.000,1785,96,51,168.690,3.000,1.569,0.637,0.636
19,mpar_wt_(green)_(0-170).tif,4,255.000,0.000,255,255,255,51.500,54.000,51.500,54.000,7.071,50,53,3,2,3.216,1.583,148.283,1.000,3.606,1020,255,NaN,NaN,100.000,1020,50,53,146.310,2.000,2.031,0.492,0.800
20,mpar_wt_(green)_(0-170).tif,5,255.000,0.000,255,255,255,10.100,55.900,10.100,55.900,9.071,8,55,4,2,4.076,1.562,159.006,0.764,4.472,1275,255,NaN,NaN,100.000,1275,8,55,153.435,2.000,2.610,0.383,0.769
21,mpar_wt_(green)_(0-170).tif,10,255.000,0.000,255,255,255,60.000,57.500,60.000,57.500,10.485,58,56,4,3,4.444,2.865,153.435,1.000,5.000,2550,255,NaN,NaN,100.000,2550,58,56,143.130,3.000,1.551,0.645,0.909
22,mpar_wt_(green)_(0-170).tif,6,255.000,0.000,255,255,255,178.333,61.000,178.333,61.000,10.485,177,59,3,4,3.931,1.943,59.036,0.686,4.472,1530,255,NaN,NaN,100.000,1530,177,63,63.435,2.683,2.023,0.494,0.706
23,mpar_wt_(green)_(0-170).tif,9,255.000,0.000,255,255,255,129.278,65.500,129.278,65.500,11.899,127,64,5,3,4.295,2.668,0.000,0.799,5.099,2295,255,NaN,NaN,100.000,2295,127,65,168.690,3.000,1.610,0.621,0.750
24,mpar_wt_(green)_(0-170).tif,24,255.000,0.000,255,255,255,153.542,72.458,153.542,72.458,18.728,150,70,7,5,7.309,4.181,27.321,0.860,8.062,6120,255,NaN,NaN,100.000,6120,150,75,29.745,5.000,1.748,0.572,0.842
25,mpar_wt_(green)_(0-170).tif,3,255.000,0.000,255,255,255,78.833,72.167,78.833,72.167,5.657,78,71,2,2,2.365,1.615,135.000,1.000,2.828,765,255,NaN,NaN,100.000,765,78,71,135.000,2.000,1.464,0.683,0.857
26,mpar_wt_(green)_(0-170).tif,18,255.000,0.000,255,255,255,10.778,79.111,10.778,79.111,16.142,8,76,5,6,6.089,3.764,45.679,0.868,7.071,4590,255,NaN,NaN,100.000,4590,8,81,45.000,4.243,1.618,0.618,0.818
27,mpar_wt_(green)_(0-170).tif,3,255.000,0.000,255,255,255,51.500,78.500,51.500,78.500,6.243,50,78,3,1,3.385,1.128,0.000,0.967,3.162,765,255,NaN,NaN,100.000,765,50,78,161.565,1.000,3.000,0.333,1.000
28,mpar_wt_(green)_(0-170).tif,8,255.000,0.000,255,255,255,61.125,81.750,61.125,81.750,9.899,59,80,4,3,4.044,2.519,160.670,1.000,4.472,2040,255,NaN,NaN,100.000,2040,59,81,153.435,3.000,1.605,0.623,0.800
29,mpar_wt_(green)_(0-170).tif,1,255.000,0.000,255,255,255,121.500,80.500,121.500,80.500,2.828,121,80,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,121,80,135.000,1.000,1.000,1.000,1.000
30,mpar_wt_(green)_(0-170).tif,5,255.000,0.000,255,255,255,179.700,81.900,179.700,81.900,9.657,179,80,2,4,3.732,1.706,84.848,0.674,4.123,1275,255,NaN,NaN,100.000,1275,179,80,104.036,2.000,2.188,0.457,0.769
31,mpar_wt_(green)_(0-170).tif,16,255.000,0.000,255,255,255,85.438,84.812,85.438,84.812,13.899,83,83,5,4,5.325,3.826,161.565,1.000,5.831,4080,255,NaN,NaN,100.000,4080,83,83,149.036,4.000,1.392,0.718,0.889
32,mpar_wt_(green)_(0-170).tif,41,255.000,0.000,255,255,255,93.402,95.988,93.402,95.988,22.971,90,92,7,8,7.949,6.567,102.122,0.976,8.544,10455,255,NaN,NaN,100.000,10455,92,92,110.556,7.000,1.210,0.826,0.872
33,mpar_wt_(green)_(0-170).tif,6,255.000,0.000,255,255,255,112.000,94.500,112.000,94.500,7.657,111,93,2,3,3.385,2.257,90.000,1.000,3.606,1530,255,NaN,NaN,100.000,1530,111,93,123.690,2.000,1.500,0.667,1.000
34,mpar_wt_(green)_(0-170).tif,6,255.000,0.000,255,255,255,63.667,96.667,63.667,96.667,8.485,62,95,3,3,3.140,2.433,135.000,1.000,3.606,1530,255,NaN,NaN,100.000,1530,63,95,123.690,2.828,1.291,0.775,0.800
35,mpar_wt_(green)_(0-170).tif,7,255.000,0.000,255,255,255,84.214,95.929,84.214,95.929,9.657,82,95,4,2,4.154,2.146,171.650,0.943,4.472,1785,255,NaN,NaN,100.000,1785,82,95,153.435,2.000,1.936,0.517,0.933
36,mpar_wt_(green)_(0-170).tif,10,255.000,0.000,255,255,255,170.400,97.800,170.400,97.800,15.899,167,97,7,2,6.766,1.882,1.152,0.497,7.071,2550,255,NaN,NaN,100.000,2550,167,97,171.870,2.000,3.596,0.278,0.769
37,mpar_wt_(green)_(0-170).tif,5,255.000,0.000,255,255,255,107.700,101.300,107.700,101.300,8.485,106,100,3,3,3.833,1.661,135.000,0.873,4.243,1275,255,NaN,NaN,100.000,1275,106,100,135.000,2.121,2.308,0.433,0.769
38,mpar_wt_(green)_(0-170).tif,6,255.000,0.000,255,255,255,36.667,103.333,36.667,103.333,9.899,35,102,4,3,4.274,1.787,151.138,0.769,5.000,1530,255,NaN,NaN,100.000,1530,35,102,143.130,2.530,2.391,0.418,0.706
39,mpar_wt_(green)_(0-170).tif,12,255.000,0.000,255,255,255,193.333,104.083,193.333,104.083,13.071,192,102,3,5,5.065,3.017,72.863,0.883,5.831,3060,255,NaN,NaN,100.000,3060,192,107,59.036,3.000,1.679,0.596,0.923
40,mpar_wt_(green)_(0-170).tif,58,255.000,0.000,255,255,255,125.655,111.724,125.655,111.724,48.527,120,105,12,16,14.873,4.965,52.230,0.310,17.889,14790,255,NaN,NaN,100.000,14790,121,121,63.435,7.433,2.995,0.334,0.558
41,mpar_wt_(green)_(0-170).tif,36,255.000,0.000,255,255,255,57.139,111.028,57.139,111.028,23.556,54,107,6,9,8.448,5.426,77.967,0.815,9.487,9180,255,NaN,NaN,100.000,9180,55,116,71.565,5.918,1.557,0.642,0.828
42,mpar_wt_(green)_(0-170).tif,9,255.000,0.000,255,255,255,115.056,108.833,115.056,108.833,10.485,113,107,4,3,4.196,2.731,6.047,1.000,4.472,2295,255,NaN,NaN,100.000,2295,113,108,153.435,3.000,1.536,0.651,0.857
43,mpar_wt_(green)_(0-170).tif,24,255.000,0.000,255,255,255,67.208,116.000,67.208,116.000,17.556,64,113,6,6,6.599,4.631,134.148,0.978,7.211,6120,255,NaN,NaN,100.000,6120,65,113,123.690,5.367,1.425,0.702,0.828
44,mpar_wt_(green)_(0-170).tif,52,255.000,0.000,255,255,255,96.077,117.135,96.077,117.135,25.799,92,113,9,8,8.647,7.657,157.766,0.982,9.849,13260,255,NaN,NaN,100.000,13260,92,115,156.038,8.000,1.129,0.886,0.881
45,mpar_wt_(green)_(0-170).tif,38,255.000,0.000,255,255,255,78.132,119.158,78.132,119.158,22.971,74,116,9,6,8.805,5.495,166.874,0.905,9.849,9690,255,NaN,NaN,100.000,9690,74,117,156.038,6.000,1.602,0.624,0.864
