 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_1.png (green).png,40000,58.006,106.898,0,0,255,100.000,100.000,80.193,115.559,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,2320245,0,1.300,-0.309,22.747,2320245,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_1.png (green).png,1393,255.000,0.000,255,255,255,13.005,33.540,13.005,33.540,354.291,0,0,38,81,60.417,29.356,80.769,0.139,81.615,355215,255,NaN,NaN,100.000,355215,3,81,82.962,38.000,2.058,0.486,0.633
3,RTO_RNAi_1.png (green).png,14,255.000,0.000,255,255,255,56.071,2.071,56.071,2.071,14.728,54,0,5,4,4.462,3.995,173.953,0.811,5.831,3570,255,NaN,NaN,100.000,3570,54,0,149.036,4.000,1.117,0.895,0.824
4,RTO_RNAi_1.png (green).png,3,255.000,0.000,255,255,255,66.500,0.500,66.500,0.500,6.243,65,0,3,1,3.385,1.128,0.000,0.967,3.162,765,255,NaN,NaN,100.000,765,65,0,161.565,1.000,3.000,0.333,1.000
5,RTO_RNAi_1.png (green).png,191,255.000,0.000,255,255,255,136.228,10.191,136.228,10.191,79.012,127,0,19,23,22.233,10.938,83.575,0.384,25.942,48705,255,NaN,NaN,100.000,48705,134,23,62.447,16.205,2.033,0.492,0.623
6,RTO_RNAi_1.png (green).png,26,255.000,0.000,255,255,255,161.962,2.731,161.962,2.731,25.314,156,0,11,4,11.260,2.940,4.285,0.510,11.180,6630,255,NaN,NaN,100.000,6630,156,2,169.695,4.000,3.830,0.261,0.765
7,RTO_RNAi_1.png (green).png,17,255.000,0.000,255,255,255,184.382,0.853,184.382,0.853,23.657,178,0,11,2,11.149,1.941,176.261,0.382,11.180,4335,255,NaN,NaN,100.000,4335,178,0,169.695,2.000,5.742,0.174,0.872
8,RTO_RNAi_1.png (green).png,31,255.000,0.000,255,255,255,116.210,9.565,116.210,9.565,21.314,113,6,7,6,6.743,5.853,163.660,0.858,8.062,7905,255,NaN,NaN,100.000,7905,113,8,150.255,6.000,1.152,0.868,0.873
9,RTO_RNAi_1.png (green).png,1,255.000,0.000,255,255,255,148.500,9.500,148.500,9.500,2.828,148,9,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,148,9,135.000,1.000,1.000,1.000,1.000
10,RTO_RNAi_1.png (green).png,186,255.000,0.000,255,255,255,63.059,25.097,63.059,25.097,85.397,53,15,19,26,19.534,12.124,72.539,0.321,27.203,47430,255,NaN,NaN,100.000,47430,62,15,107.103,18.402,1.611,0.621,0.551
11,RTO_RNAi_1.png (green).png,10,255.000,0.000,255,255,255,110.000,27.000,110.000,27.000,11.314,108,25,4,4,5.312,2.397,45.000,0.982,5.657,2550,255,NaN,NaN,100.000,2550,108,29,45.000,2.828,2.217,0.451,0.833
12,RTO_RNAi_1.png (green).png,11,255.000,0.000,255,255,255,139.682,30.682,139.682,30.682,17.314,136,29,7,4,7.207,1.943,18.544,0.461,8.062,2805,255,NaN,NaN,100.000,2805,136,33,29.745,2.846,3.709,0.270,0.611
13,RTO_RNAi_1.png (green).png,717,255.000,0.000,255,255,255,92.119,51.125,92.119,51.125,240.108,54,31,58,37,39.721,22.983,9.218,0.156,62.394,182835,255,NaN,NaN,100.000,182835,54,56,21.631,34.600,1.728,0.579,0.477
14,RTO_RNAi_1.png (green).png,204,255.000,0.000,255,255,255,174.809,44.181,174.809,44.181,68.284,159,38,27,13,23.756,10.934,1.932,0.550,27.659,52020,255,NaN,NaN,100.000,52020,159,44,12.529,12.155,2.173,0.460,0.819
15,RTO_RNAi_1.png (green).png,92,255.000,0.000,255,255,255,138.446,45.087,138.446,45.087,44.870,132,39,16,12,13.736,8.528,21.519,0.574,17.464,23460,255,NaN,NaN,100.000,23460,132,50,23.629,10.733,1.611,0.621,0.770
