 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_2a.png (green).png,40000,169.715,120.310,255,0,255,100.000,100.000,96.826,99.978,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,6788610,255,-0.702,-1.507,66.555,6788610,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_2a.png (green).png,25202,255.000,0.000,255,255,255,92.227,99.591,92.227,99.591,1939.717,0,0,200,200,192.428,166.755,95.873,0.084,282.843,6426510,255,NaN,NaN,100.000,6426510,0,0,135.000,200.000,1.154,0.867,0.630
3,RTO_RNAi_2a.png (green).png,13,255.000,0.000,255,255,255,176.577,43.269,176.577,43.269,13.314,174,41,5,4,4.600,3.598,42.667,0.922,5.657,3315,255,NaN,NaN,100.000,3315,174,45,45.000,4.000,1.279,0.782,0.812
4,RTO_RNAi_2a.png (green).png,4,255.000,0.000,255,255,255,199.250,49.500,199.250,49.500,7.657,198,48,2,3,2.734,1.863,90.000,0.857,3.162,1020,255,NaN,NaN,100.000,1020,199,48,108.435,2.000,1.468,0.681,0.800
5,RTO_RNAi_2a.png (green).png,1,255.000,0.000,255,255,255,199.500,55.500,199.500,55.500,2.828,199,55,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,199,55,135.000,1.000,1.000,1.000,1.000
6,RTO_RNAi_2a.png (green).png,3,255.000,0.000,255,255,255,39.167,57.167,39.167,57.167,5.657,38,56,2,2,2.365,1.615,45.000,1.000,2.828,765,255,NaN,NaN,100.000,765,38,58,45.000,2.000,1.464,0.683,0.857
7,RTO_RNAi_2a.png (green).png,12,255.000,0.000,255,255,255,23.833,59.083,23.833,59.083,13.899,21,57,5,4,4.477,3.412,158.576,0.781,5.385,3060,255,NaN,NaN,100.000,3060,21,59,158.199,4.000,1.312,0.762,0.774
8,RTO_RNAi_2a.png (green).png,1170,255.000,0.000,255,255,255,190.237,109.508,190.237,109.508,258.167,164,63,36,79,64.988,22.922,82.309,0.221,81.860,298350,255,NaN,NaN,100.000,298350,165,137,64.687,36.000,2.835,0.353,0.664
9,RTO_RNAi_2a.png (green).png,62,255.000,0.000,255,255,255,124.855,79.726,124.855,79.726,29.556,119,76,11,7,11.587,6.813,173.754,0.892,12.083,15810,255,NaN,NaN,100.000,15810,119,78,155.556,7.000,1.701,0.588,0.912
10,RTO_RNAi_2a.png (green).png,1,255.000,0.000,255,255,255,103.500,82.500,103.500,82.500,2.828,103,82,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,103,82,135.000,1.000,1.000,1.000,1.000
11,RTO_RNAi_2a.png (green).png,95,255.000,0.000,255,255,255,156.237,98.574,156.237,98.574,51.113,152,89,9,18,18.361,6.588,86.470,0.457,18.974,24225,255,NaN,NaN,100.000,24225,155,89,108.435,8.858,2.787,0.359,0.699
12,RTO_RNAi_2a.png (green).png,5,255.000,0.000,255,255,255,174.300,116.100,174.300,116.100,7.071,173,115,3,2,3.144,2.025,161.565,1.000,3.606,1275,255,NaN,NaN,100.000,1275,173,115,146.310,2.000,1.553,0.644,0.909
13,RTO_RNAi_2a.png (green).png,9,255.000,0.000,255,255,255,148.611,118.833,148.611,118.833,10.485,147,117,3,4,3.919,2.924,69.699,1.000,4.472,2295,255,NaN,NaN,100.000,2295,148,121,63.435,3.000,1.340,0.746,0.857
14,RTO_RNAi_2a.png (green).png,16,255.000,0.000,255,255,255,133.875,123.562,133.875,123.562,14.728,131,122,6,4,5.739,3.550,170.397,0.927,6.325,4080,255,NaN,NaN,100.000,4080,131,122,161.565,4.000,1.617,0.619,0.842
15,RTO_RNAi_2a.png (green).png,29,255.000,0.000,255,255,255,3.466,134.086,3.466,134.086,21.314,0,132,8,5,8.339,4.428,4.305,0.802,8.944,7395,255,NaN,NaN,100.000,7395,0,137,26.565,5.000,1.883,0.531,0.866
