 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_2a.png (green),40000,85.285,120.310,0,0,255,100.000,100.000,106.316,100.044,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,3411390,0,0.702,-1.507,33.445,3411390,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_2a.png (green),1,255.000,0.000,255,255,255,108.500,0.500,108.500,0.500,2.828,108,0,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,108,0,135.000,1.000,1.000,1.000,1.000
3,RTO_RNAi_2a.png (green),11,255.000,0.000,255,255,255,87.500,3.500,87.500,3.500,11.899,85,2,5,3,4.535,3.088,0.000,0.976,5.099,2805,255,NaN,NaN,100.000,2805,85,3,168.690,3.000,1.469,0.681,0.846
4,RTO_RNAi_2a.png (green),103,255.000,0.000,255,255,255,101.257,9.782,101.257,9.782,58.770,92,4,16,15,13.166,9.961,94.548,0.375,17.205,26265,255,NaN,NaN,100.000,26265,93,5,125.538,14.758,1.322,0.757,0.594
5,RTO_RNAi_2a.png (green),17,255.000,0.000,255,255,255,54.382,8.088,54.382,8.088,13.899,52,6,5,4,5.229,4.140,15.172,1.000,5.831,4335,255,NaN,NaN,100.000,4335,52,10,30.964,4.000,1.263,0.792,0.919
6,RTO_RNAi_2a.png (green),25,255.000,0.000,255,255,255,169.780,9.380,169.780,9.380,18.728,166,7,7,5,6.975,4.563,0.198,0.896,7.616,6375,255,NaN,NaN,100.000,6375,166,8,156.801,5.000,1.529,0.654,0.847
7,RTO_RNAi_2a.png (green),4,255.000,0.000,255,255,255,135.500,10.750,135.500,10.750,7.071,134,10,3,2,2.734,1.863,0.000,1.000,3.162,1020,255,NaN,NaN,100.000,1020,134,10,161.565,2.000,1.468,0.681,0.800
8,RTO_RNAi_2a.png (green),7,255.000,0.000,255,255,255,152.500,11.500,152.500,11.500,8.485,151,10,3,3,3.772,2.363,45.000,1.000,4.243,1785,255,NaN,NaN,100.000,1785,151,13,45.000,2.828,1.596,0.626,0.875
9,RTO_RNAi_2a.png (green),20,255.000,0.000,255,255,255,182.150,12.500,182.150,12.500,18.728,178,10,7,5,7.099,3.587,30.956,0.717,8.062,5100,255,NaN,NaN,100.000,5100,178,14,29.745,4.400,1.979,0.505,0.784
10,RTO_RNAi_2a.png (green),135,255.000,0.000,255,255,255,59.996,17.181,59.996,17.181,67.941,47,12,24,11,18.816,9.135,176.106,0.368,24.187,34425,255,NaN,NaN,100.000,34425,47,16,7.125,10.889,2.060,0.485,0.703
11,RTO_RNAi_2a.png (green),11,255.000,0.000,255,255,255,138.136,16.136,138.136,16.136,13.899,135,15,6,3,5.834,2.401,167.778,0.715,6.325,2805,255,NaN,NaN,100.000,2805,135,15,161.565,3.000,2.430,0.411,0.786
12,RTO_RNAi_2a.png (green),2,255.000,0.000,255,255,255,106.000,17.500,106.000,17.500,4.243,105,17,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100.000,510,105,17,153.435,1.000,2.000,0.500,1.000
