 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_2b.png (green).png,40000,190.797,110.680,255,0,255,100.000,100.000,96.072,99.834,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,7631895.000,255,-1.144,-0.692,74.823,7631895.000,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_2b.png (green).png,29284,255.000,0.000,255,255,255,94.392,100.380,94.392,100.380,1451.862,0,0,200,200,199.796,186.619,112.482,0.175,282.843,7467420.000,255,NaN,NaN,100.000,7467420.000,0,0,135.000,200.000,1.071,0.934,0.732
3,RTO_RNAi_2b.png (green).png,14,255.000,0.000,255,255,255,198.714,49.286,198.714,49.286,14.485,197,46,3,6,5.744,3.103,83.953,0.838,6.325,3570.000,255,NaN,NaN,100.000,3570.000,198,52,71.565,3.000,1.851,0.540,0.903
4,RTO_RNAi_2b.png (green).png,563,255.000,0.000,255,255,255,174.841,72.340,174.841,72.340,139.196,156,55,44,37,45.623,15.712,35.406,0.365,55.227,143565.000,255,NaN,NaN,100.000,143565.000,159,92,42.064,19.692,2.904,0.344,0.733
5,RTO_RNAi_2b.png (green).png,2,255.000,0.000,255,255,255,199.000,60.500,199.000,60.500,4.243,198,60,2,1,2.257,1.128,0.000,1.000,2.236,510.000,255,NaN,NaN,100.000,510.000,198,60,153.435,1.000,2.000,0.500,1.000
6,RTO_RNAi_2b.png (green).png,7,255.000,0.000,255,255,255,117.929,76.357,117.929,76.357,9.899,116,75,4,3,3.516,2.535,10.901,0.898,4.123,1785.000,255,NaN,NaN,100.000,1785.000,116,76,165.964,3.000,1.387,0.721,0.737
7,RTO_RNAi_2b.png (green).png,24,255.000,0.000,255,255,255,132.583,81.583,132.583,81.583,18.728,129,79,7,5,7.647,3.996,20.225,0.860,8.062,6120.000,255,NaN,NaN,100.000,6120.000,129,83,29.745,4.608,1.914,0.523,0.842
8,RTO_RNAi_2b.png (green).png,19,255.000,0.000,255,255,255,164.868,120.395,164.868,120.395,19.899,160,119,9,3,9.081,2.664,172.064,0.603,9.220,4845.000,255,NaN,NaN,100.000,4845.000,160,120,167.471,3.000,3.409,0.293,0.826
9,RTO_RNAi_2b.png (green).png,6,255.000,0.000,255,255,255,166.167,126.500,166.167,126.500,9.899,164,125,4,3,3.416,2.236,0.000,0.769,4.123,1530.000,255,NaN,NaN,100.000,1530.000,164,126,165.964,3.000,1.528,0.655,0.667
10,RTO_RNAi_2b.png (green).png,4,255.000,0.000,255,255,255,158.000,129.000,158.000,129.000,5.657,157,128,2,2,2.257,2.257,0.000,1.000,2.828,1020.000,255,NaN,NaN,100.000,1020.000,157,128,135.000,2.000,1.000,1.000,1.000
11,RTO_RNAi_2b.png (green).png,3,255.000,0.000,255,255,255,154.833,132.833,154.833,132.833,5.657,154,132,2,2,2.365,1.615,45.000,1.000,2.828,765.000,255,NaN,NaN,100.000,765.000,154,134,45.000,2.000,1.464,0.683,0.857
12,RTO_RNAi_2b.png (green).png,2,255.000,0.000,255,255,255,137.000,135.500,137.000,135.500,4.243,136,135,2,1,2.257,1.128,0.000,1.000,2.236,510.000,255,NaN,NaN,100.000,510.000,136,135,153.435,1.000,2.000,0.500,1.000
13,RTO_RNAi_2b.png (green).png,1,255.000,0.000,255,255,255,32.500,142.500,32.500,142.500,2.828,32,142,1,1,1.128,1.128,0.000,1.000,1.414,255.000,255,NaN,NaN,100.000,255.000,32,142,135.000,1.000,1.000,1.000,1.000
