 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_2c.png (green).png,40000,184.091,114.254,255,0,255,100.000,100.000,93.801,99.464,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,7363635,255,-0.991,-1.019,72.192,7363635,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_2c.png (green).png,28279,255.000,0.000,255,255,255,92.563,99.913,92.563,99.913,2251.239,0,0,200,200,198.064,181.790,107.100,0.070,282.843,7211145,255,NaN,NaN,100.000,7211145,0,0,135.000,200.000,1.090,0.918,0.707
3,RTO_RNAi_2c.png (green).png,9,255.000,0.000,255,255,255,198.722,53.389,198.722,53.389,11.071,197,51,3,4,4.200,2.729,60.482,0.923,5.000,2295,255,NaN,NaN,100.000,2295,197,55,53.130,3.000,1.539,0.650,0.900
4,RTO_RNAi_2c.png (green).png,390,255.000,0.000,255,255,255,175.864,74.249,175.864,74.249,123.681,160,59,34,29,32.288,15.379,39.160,0.320,40.361,99450,255,NaN,NaN,100.000,99450,164,87,41.987,20.125,2.099,0.476,0.695
5,RTO_RNAi_2c.png (green).png,44,255.000,0.000,255,255,255,135.818,69.341,135.818,69.341,37.556,128,67,17,4,15.498,3.615,1.281,0.392,17.263,11220,255,NaN,NaN,100.000,11220,128,71,10.008,4.000,4.287,0.233,0.793
6,RTO_RNAi_2c.png (green).png,2,255.000,0.000,255,255,255,199.500,72.000,199.500,72.000,4.828,199,71,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,199,71,116.565,1.000,2.000,0.500,1.000
7,RTO_RNAi_2c.png (green).png,4,255.000,0.000,255,255,255,158.500,73.250,158.500,73.250,7.071,157,72,3,2,2.734,1.863,0.000,1.000,3.162,1020,255,NaN,NaN,100.000,1020,157,73,161.565,2.000,1.468,0.681,0.800
8,RTO_RNAi_2c.png (green).png,2,255.000,0.000,255,255,255,196.000,72.500,196.000,72.500,4.243,195,72,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100.000,510,195,72,153.435,1.000,2.000,0.500,1.000
9,RTO_RNAi_2c.png (green).png,66,255.000,0.000,255,255,255,95.591,82.909,95.591,82.909,34.042,89,78,11,11,9.219,9.115,139.685,0.716,11.402,16830,255,NaN,NaN,100.000,16830,89,83,15.255,9.899,1.011,0.989,0.790
10,RTO_RNAi_2c.png (green).png,5,255.000,0.000,255,255,255,143.100,79.700,143.100,79.700,7.657,142,78,2,3,3.144,2.025,71.565,1.000,3.606,1275,255,NaN,NaN,100.000,1275,142,81,56.310,2.000,1.553,0.644,0.909
11,RTO_RNAi_2c.png (green).png,73,255.000,0.000,255,255,255,86.075,101.610,86.075,101.610,55.113,78,95,17,17,18.942,4.907,38.717,0.302,23.345,18615,255,NaN,NaN,100.000,18615,78,112,43.264,8.277,3.860,0.259,0.492
12,RTO_RNAi_2c.png (green).png,1,255.000,0.000,255,255,255,12.500,137.500,12.500,137.500,2.828,12,137,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,12,137,135.000,1.000,1.000,1.000,1.000
13,RTO_RNAi_2c.png (green).png,2,255.000,0.000,255,255,255,9.500,142.000,9.500,142.000,4.828,9,141,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100.000,510,9,141,116.565,1.000,2.000,0.500,1.000
