 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_4a.png (green).png,40000,65.140,111.210,0,0,255,100.000,100.000,108.270,117.272,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,2605590.000,0,1.121,-0.742,25.545,2605590.000,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_4a.png (green).png,25,255.000,0.000,255,255,255,35.140,1.260,35.140,1.260,24.485,30,0,11,3,11.872,2.681,5.143,0.524,11.402,6375.000,255,NaN,NaN,100.000,6375.000,30,3,15.255,3.000,4.428,0.226,0.862
3,RTO_RNAi_4a.png (green).png,134,255.000,0.000,255,255,255,82.030,5.224,82.030,5.224,72.669,68,0,29,13,28.313,6.026,21.169,0.319,31.016,34170.000,255,NaN,NaN,100.000,34170.000,68,11,20.772,8.482,4.698,0.213,0.698
4,RTO_RNAi_4a.png (green).png,26,255.000,0.000,255,255,255,109.346,2.000,109.346,2.000,22.142,106,0,9,5,8.116,4.079,22.315,0.666,9.849,6630.000,255,NaN,NaN,100.000,6630.000,106,4,23.962,5.000,1.990,0.503,0.788
5,RTO_RNAi_4a.png (green).png,6,255.000,0.000,255,255,255,45.667,2.167,45.667,2.167,9.071,44,1,4,2,4.134,1.848,167.067,0.916,4.472,1530.000,255,NaN,NaN,100.000,1530.000,44,1,153.435,2.000,2.237,0.447,0.857
6,RTO_RNAi_4a.png (green).png,7,255.000,0.000,255,255,255,142.071,3.214,142.071,3.214,9.899,140,2,4,3,3.855,2.312,149.036,0.898,4.472,1785.000,255,NaN,NaN,100.000,1785.000,140,2,153.435,2.828,1.668,0.600,0.778
7,RTO_RNAi_4a.png (green).png,18,255.000,0.000,255,255,255,16.167,9.389,16.167,9.389,19.899,12,8,9,3,8.439,2.716,13.355,0.571,9.487,4590.000,255,NaN,NaN,100.000,4590.000,12,11,18.435,3.000,3.107,0.322,0.857
8,RTO_RNAi_4a.png (green).png,31,255.000,0.000,255,255,255,113.823,13.113,113.823,13.113,22.971,111,9,6,8,8.617,4.581,113.411,0.738,9.434,7905.000,255,NaN,NaN,100.000,7905.000,111,9,122.005,5.814,1.881,0.532,0.805
9,RTO_RNAi_4a.png (green).png,14,255.000,0.000,255,255,255,29.286,11.571,29.286,11.571,14.485,26,10,6,3,6.015,2.963,16.174,0.838,6.708,3570.000,255,NaN,NaN,100.000,3570.000,26,13,26.565,3.000,2.030,0.493,0.903
10,RTO_RNAi_4a.png (green).png,6,255.000,0.000,255,255,255,83.500,11.667,83.500,11.667,8.485,82,10,3,3,3.718,2.055,36.870,1.000,4.243,1530.000,255,NaN,NaN,100.000,1530.000,82,13,45.000,2.683,1.809,0.553,0.800
11,RTO_RNAi_4a.png (green).png,161,255.000,0.000,255,255,255,127.655,19.717,127.655,19.717,57.113,122,10,12,19,20.171,10.163,86.356,0.620,20.616,41055.000,255,NaN,NaN,100.000,41055.000,124,29,67.166,12.000,1.985,0.504,0.813
12,RTO_RNAi_4a.png (green).png,59,255.000,0.000,255,255,255,56.585,14.398,56.585,14.398,40.627,48,11,16,7,14.685,5.115,16.758,0.449,16.763,15045.000,255,NaN,NaN,100.000,15045.000,48,16,17.354,6.905,2.871,0.348,0.761
13,RTO_RNAi_4a.png (green).png,39,255.000,0.000,255,255,255,95.449,14.423,95.449,14.423,25.556,90,12,11,5,10.736,4.625,170.411,0.750,11.402,9945.000,255,NaN,NaN,100.000,9945.000,90,13,164.745,5.000,2.321,0.431,0.867
14,RTO_RNAi_4a.png (green).png,101,255.000,0.000,255,255,255,74.807,22.282,74.807,22.282,46.284,69,14,12,17,19.096,6.734,62.835,0.592,20.248,25755.000,255,NaN,NaN,100.000,25755.000,70,31,57.095,7.985,2.836,0.353,0.828
15,RTO_RNAi_4a.png (green).png,16,255.000,0.000,255,255,255,15.875,18.062,15.875,18.062,14.485,14,16,4,5,5.012,4.065,66.255,0.958,5.831,4080.000,255,NaN,NaN,100.000,4080.000,15,21,59.036,4.000,1.233,0.811,0.914
