 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_4b.png (green).png,40000,37.440,90.254,0,0,255,100.000,100.000,102.244,101.313,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,1497615.000,0,1.996,1.983,14.682,1497615.000,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_4b.png (green).png,8,255.000,0.000,255,255,255,35.500,9.000,35.500,9.000,11.071,33,8,5,2,4.936,2.064,169.099,0.820,5.385,2040.000,255,NaN,NaN,100.000,2040.000,33,8,158.199,2.000,2.392,0.418,0.889
3,RTO_RNAi_4b.png (green).png,9,255.000,0.000,255,255,255,43.833,9.389,43.833,9.389,9.899,42,8,4,3,3.919,2.924,159.699,1.000,4.472,2295.000,255,NaN,NaN,100.000,2295.000,42,8,153.435,3.000,1.340,0.746,0.857
4,RTO_RNAi_4b.png (green).png,30,255.000,0.000,255,255,255,127.033,16.700,127.033,16.700,23.799,123,13,8,8,9.689,3.942,55.583,0.666,10.000,7650.000,255,NaN,NaN,100.000,7650.000,123,20,36.870,5.270,2.458,0.407,0.741
5,RTO_RNAi_4b.png (green).png,59,255.000,0.000,255,255,255,59.347,18.229,59.347,18.229,33.799,52,15,14,7,13.582,5.531,163.035,0.649,14.866,15045.000,255,NaN,NaN,100.000,15045.000,52,17,160.346,6.456,2.456,0.407,0.837
6,RTO_RNAi_4b.png (green).png,6,255.000,0.000,255,255,255,104.333,15.833,104.333,15.833,9.657,102,15,4,2,4.134,1.848,167.067,0.809,4.472,1530.000,255,NaN,NaN,100.000,1530.000,102,15,153.435,2.000,2.237,0.447,0.857
7,RTO_RNAi_4b.png (green).png,1,255.000,0.000,255,255,255,100.500,21.500,100.500,21.500,2.828,100,21,1,1,1.128,1.128,0.000,1.000,1.414,255.000,255,NaN,NaN,100.000,255.000,100,21,135.000,1.000,1.000,1.000,1.000
8,RTO_RNAi_4b.png (green).png,1928,255.000,0.000,255,255,255,107.380,67.123,107.380,67.123,607.796,67,21,82,103,85.696,28.645,59.786,0.066,114.634,491640.000,255,NaN,NaN,100.000,491640.000,67,111,51.730,56.726,2.992,0.334,0.390
9,RTO_RNAi_4b.png (green).png,31,255.000,0.000,255,255,255,196.790,26.210,196.790,26.210,25.799,193,22,7,8,9.448,4.178,53.276,0.585,10.630,7905.000,255,NaN,NaN,100.000,7905.000,193,30,48.814,5.547,2.262,0.442,0.765
10,RTO_RNAi_4b.png (green).png,7,255.000,0.000,255,255,255,79.786,24.071,79.786,24.071,9.071,78,23,4,2,4.154,2.146,171.650,1.000,4.472,1785.000,255,NaN,NaN,100.000,1785.000,78,23,153.435,2.000,1.936,0.517,0.933
