 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_4c.png (green).png,40000,61.704,109.213,0,0,255,100.000,100.000,97.155,110.951,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,2468145,0,1.205,-0.548,24.198,2468145,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_4c.png (green).png,341,255.000,0.000,255,255,255,30.556,9.831,30.556,9.831,130.368,14,0,35,23,28.864,15.042,12.498,0.252,35.014,86955,255,NaN,NaN,100.000,86955,14,8,178.363,20.691,1.919,0.521,0.629
3,RTO_RNAi_4c.png (green).png,5,255.000,0.000,255,255,255,49.700,1.100,49.700,1.100,7.657,48,0,3,2,3.144,2.025,18.435,1.000,3.606,1275,255,NaN,NaN,100.000,1275,48,2,33.690,2.000,1.553,0.644,0.909
4,RTO_RNAi_4c.png (green).png,33,255.000,0.000,255,255,255,191.773,6.530,191.773,6.530,24.728,187,4,10,5,10.964,3.832,17.971,0.678,11.180,8415,255,NaN,NaN,100.000,8415,187,9,26.565,4.608,2.861,0.350,0.857
5,RTO_RNAi_4c.png (green).png,6,255.000,0.000,255,255,255,65.333,7.333,65.333,7.333,8.485,64,6,3,3,3.140,2.433,135.000,1.000,3.606,1530,255,NaN,NaN,100.000,1530,64,6,123.690,2.828,1.291,0.775,0.800
6,RTO_RNAi_4c.png (green).png,52,255.000,0.000,255,255,255,100.635,8.885,100.635,8.885,28.971,95,6,12,6,11.868,5.579,170.037,0.779,12.369,13260,255,NaN,NaN,100.000,13260,95,7,165.964,6.000,2.127,0.470,0.881
7,RTO_RNAi_4c.png (green).png,72,255.000,0.000,255,255,255,169.889,12.722,169.889,12.722,32.042,164,8,12,9,12.914,7.099,30.162,0.881,13.892,18360,255,NaN,NaN,100.000,18360,164,16,30.256,7.778,1.819,0.550,0.900
8,RTO_RNAi_4c.png (green).png,9,255.000,0.000,255,255,255,46.167,12.611,46.167,12.611,10.485,44,11,4,3,3.919,2.924,159.699,1.000,4.472,2295,255,NaN,NaN,100.000,2295,44,12,153.435,3.000,1.340,0.746,0.857
9,RTO_RNAi_4c.png (green).png,35,255.000,0.000,255,255,255,188.414,17.243,188.414,17.243,22.385,184,14,9,6,8.914,4.999,17.888,0.878,9.487,8925,255,NaN,NaN,100.000,8925,184,19,18.435,5.814,1.783,0.561,0.843
10,RTO_RNAi_4c.png (green).png,1877,255.000,0.000,255,255,255,144.990,67.198,144.990,67.198,440.801,107,18,70,104,83.070,28.770,113.141,0.121,110.136,478635,255,NaN,NaN,100.000,478635,120,19,110.739,59.081,2.887,0.346,0.414
11,RTO_RNAi_4c.png (green).png,12,255.000,0.000,255,255,255,5.083,21.250,5.083,21.250,14.728,2,19,6,4,6.171,2.476,28.451,0.695,6.708,3060,255,NaN,NaN,100.000,3060,2,23,26.565,3.130,2.492,0.401,0.750
12,RTO_RNAi_4c.png (green).png,10,255.000,0.000,255,255,255,141.600,22.300,141.600,22.300,12.728,139,20,5,4,5.303,2.401,39.028,0.776,5.831,2550,255,NaN,NaN,100.000,2550,139,24,30.964,2.828,2.209,0.453,0.769
13,RTO_RNAi_4c.png (green).png,1,255.000,0.000,255,255,255,31.500,22.500,31.500,22.500,2.828,31,22,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,31,22,135.000,1.000,1.000,1.000,1.000
14,RTO_RNAi_4c.png (green).png,11,255.000,0.000,255,255,255,50.955,27.682,50.955,27.682,11.899,49,26,4,4,4.507,3.107,41.028,0.976,5.000,2805,255,NaN,NaN,100.000,2805,49,29,36.870,3.536,1.450,0.689,0.846
15,RTO_RNAi_4c.png (green).png,53,255.000,0.000,255,255,255,179.877,31.953,179.877,31.953,28.971,174,29,12,6,11.517,5.859,11.497,0.794,12.369,13515,255,NaN,NaN,100.000,13515,174,34,14.036,6.000,1.966,0.509,0.891
16,RTO_RNAi_4c.png (green).png,1,255.000,0.000,255,255,255,45.500,37.500,45.500,37.500,2.828,45,37,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,45,37,135.000,1.000,1.000,1.000,1.000
17,RTO_RNAi_4c.png (green).png,2,255.000,0.000,255,255,255,58.000,38.500,58.000,38.500,4.243,57,38,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100.000,510,57,38,153.435,1.000,2.000,0.500,1.000
