 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_RNAi_6.png (green).png,40000,30.881,83.193,0,0,255,100.000,100.000,96.696,86.322,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,1235220,0,2.323,3.395,12.110,1235220,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_RNAi_6.png (green).png,5,255.000,0.000,255,255,255,97.700,0.900,97.700,0.900,7.657,96,0,3,2,3.144,2.025,161.565,1.000,3.606,1275,255,NaN,NaN,100.000,1275,96,0,146.310,2.000,1.553,0.644,0.909
3,RTO_RNAi_6.png (green).png,87,255.000,0.000,255,255,255,107.626,5.385,107.626,5.385,54.870,102,0,15,11,11.370,9.742,64.648,0.363,17.804,22185,255,NaN,NaN,100.000,22185,103,11,38.157,11.000,1.167,0.857,0.635
4,RTO_RNAi_6.png (green).png,14,255.000,0.000,255,255,255,132.286,1.286,132.286,1.286,17.899,128,0,8,3,7.693,2.317,164.013,0.549,8.544,3570,255,NaN,NaN,100.000,3570,128,0,159.444,3.000,3.320,0.301,0.800
5,RTO_RNAi_6.png (green).png,1,255.000,0.000,255,255,255,150.500,4.500,150.500,4.500,2.828,150,4,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100.000,255,150,4,135.000,1.000,1.000,1.000,1.000
6,RTO_RNAi_6.png (green).png,34,255.000,0.000,255,255,255,87.059,8.529,87.059,8.529,24.385,83,5,8,8,9.556,4.530,47.903,0.719,10.630,8670,255,NaN,NaN,100.000,8670,83,13,41.186,5.657,2.109,0.474,0.829
7,RTO_RNAi_6.png (green).png,3,255.000,0.000,255,255,255,132.167,7.833,132.167,7.833,5.657,131,7,2,2,2.365,1.615,135.000,1.000,2.828,765,255,NaN,NaN,100.000,765,131,7,135.000,2.000,1.464,0.683,0.857
8,RTO_RNAi_6.png (green).png,14,255.000,0.000,255,255,255,95.071,9.857,95.071,9.857,13.899,93,8,5,4,5.407,3.297,41.437,0.911,6.403,3570,255,NaN,NaN,100.000,3570,93,12,38.660,4.000,1.640,0.610,0.848
9,RTO_RNAi_6.png (green).png,81,255.000,0.000,255,255,255,70.265,16.846,70.265,16.846,45.941,63,10,14,16,20.127,5.124,51.295,0.482,20.616,20655,255,NaN,NaN,100.000,20655,64,26,50.906,6.690,3.928,0.255,0.750
10,RTO_RNAi_6.png (green).png,11,255.000,0.000,255,255,255,120.136,12.682,120.136,12.682,11.899,118,11,4,4,4.900,2.859,142.125,0.976,5.657,2805,255,NaN,NaN,100.000,2805,118,11,135.000,3.536,1.714,0.583,0.846
11,RTO_RNAi_6.png (green).png,12,255.000,0.000,255,255,255,108.917,18.167,108.917,18.167,13.314,106,16,5,4,4.804,3.180,166.255,0.851,5.385,3060,255,NaN,NaN,100.000,3060,106,18,158.199,3.795,1.511,0.662,0.774
12,RTO_RNAi_6.png (green).png,23,255.000,0.000,255,255,255,168.457,19.370,168.457,19.370,17.314,166,16,5,6,6.260,4.678,111.036,0.964,7.211,5865,255,NaN,NaN,100.000,5865,167,16,123.690,5.000,1.338,0.747,0.885
