feat	param	r2
AR_inverted_std	Ga/Da	0.005820402042990502
AR_inverted_std	Ga	0.005802171787751775
AR_inverted_std	Ua/Ga	0.0057356360299409825
AR_inverted_std	Ua/Ui	0.0032879431231467304
AR_inverted_std	Gi/Di	0.0022447843830517566
AR_inverted_std	Ga/Gi	0.0013319880611575297
AR_inverted_std	Da/Di	0.001194378517057948
AR_inverted_std	Gi	0.0010350235571399136
AR_inverted_std	Di	0.000870215379052075
AR_inverted_std	Ua/Di	0.0008332616344651766
AR_inverted_std	Ui/Da	0.0007670766673746332
AR_inverted_std	Gi/Da	0.0007658789591826753
AR_inverted_std	Ui	0.0007085814636046406
AR_inverted_std	Gi/Ba	0.0005164514654428798
AR_inverted_std	Ui/Gi	0.00036921200620188
AR_inverted_std	Ga/Ba	0.00036327768017574424
AR_inverted_std	Ga/Di	0.00022814764750167527
AR_inverted_std	Da/Ba	0.00016337256978371517
AR_inverted_std	Ua/Ba	0.00015024571514021812
AR_inverted_std	Ua	0.0001485489054691147
AR_inverted_std	Ua/Gi	0.00014665978231631627
AR_inverted_std	Da	9.72961864432742e-05
AR_inverted_std	Ua/Da	8.926379063556311e-05
AR_inverted_std	Ba	6.177219111525023e-05
AR_inverted_std	Ui/Di	3.656847274147168e-05
AR_inverted_std	Di/Ba	2.3989551274139487e-05
AR_inverted_std	Ui/Ba	2.4924701735873356e-07
