feat	param	r2
AR_mean	Ui/Ba	0.019731713376562987
AR_mean	Ga	0.017266758021346473
AR_mean	Ga/Da	0.016373727867059373
AR_mean	Ua/Ga	0.015024906599770183
AR_mean	Ui/Di	0.011099911290924247
AR_mean	Ui	0.010407343145012793
AR_mean	Ui/Da	0.009136690140510884
AR_mean	Ui/Gi	0.008727408310185147
AR_mean	Ua/Da	0.007010959883346435
AR_mean	Ua	0.00690896497851845
AR_mean	Da/Ba	0.0054890995931657915
AR_mean	Da/Di	0.004083904877779432
AR_mean	Di	0.0038587774750400428
AR_mean	Gi/Di	0.0035647798692304278
AR_mean	Ba	0.0034173894056624965
AR_mean	Gi/Ba	0.0027745320746357383
AR_mean	Ga/Di	0.001215762685083499
AR_mean	Ua/Gi	0.00044041216316403897
AR_mean	Gi	0.0003888553631448133
AR_mean	Di/Ba	0.0003679757400987249
AR_mean	Ga/Gi	0.00023629433105343267
AR_mean	Gi/Da	0.00022685027671454083
AR_mean	Da	0.00017194510568607768
AR_mean	Ga/Ba	6.426774878920405e-05
AR_mean	Ua/Di	7.215977898655801e-06
AR_mean	Ua/Ba	4.2476748753905724e-06
AR_mean	Ua/Ui	5.166358230113133e-09
