feat	param	r2
Angle_inverted_mean	Ui/Ba	0.04269785700817996
Angle_inverted_mean	Ui/Gi	0.023362055624393974
Angle_inverted_mean	Da/Ba	0.021955090188791826
Angle_inverted_mean	Ui	0.01724053846953888
Angle_inverted_mean	Ba	0.01684684637258005
Angle_inverted_mean	Ui/Di	0.016122509000618512
Angle_inverted_mean	Ua/Ga	0.016023253757997624
Angle_inverted_mean	Ui/Da	0.014854216744015325
Angle_inverted_mean	Ga/Ba	0.01136440664336602
Angle_inverted_mean	Ua/Da	0.006946859707848807
Angle_inverted_mean	Di/Ba	0.006734867435956415
Angle_inverted_mean	Ua	0.006210383979082801
Angle_inverted_mean	Ga/Gi	0.005952478554450247
Angle_inverted_mean	Gi/Ba	0.005902577877851978
Angle_inverted_mean	Da/Di	0.0048348977110038716
Angle_inverted_mean	Ga/Da	0.0035826072386229146
Angle_inverted_mean	Ua/Ba	0.003526937522462914
Angle_inverted_mean	Ga	0.003289042559152744
Angle_inverted_mean	Di	0.0025768528090155396
Angle_inverted_mean	Ua/Ui	0.0019779676999450713
Angle_inverted_mean	Gi/Da	0.0016725894796399965
Angle_inverted_mean	Ua/Gi	0.00140558382523015
Angle_inverted_mean	Gi	0.001254435896059225
Angle_inverted_mean	Gi/Di	0.0009293506924420436
Angle_inverted_mean	Da	0.0007299743594481045
Angle_inverted_mean	Ua/Di	0.000135945965238915
Angle_inverted_mean	Ga/Di	5.385623409670526e-05
