feat	param	r2
Angle_std	Ui/Ba	0.06792115498283158
Angle_std	Ui/Gi	0.045696568928407566
Angle_std	Ui	0.03433429002830124
Angle_std	Da/Ba	0.03166981385275136
Angle_std	Ui/Da	0.03033680661931426
Angle_std	Ui/Di	0.02849812785885919
Angle_std	Ba	0.022303549490791164
Angle_std	Ua/Ga	0.020020232840968544
Angle_std	Ga/Ba	0.019604803192374787
Angle_std	Ga/Gi	0.014548794268029686
Angle_std	Di/Ba	0.0098438298908482
Angle_std	Da/Di	0.007355823236502301
Angle_std	Ua/Ba	0.0069913826938954315
Angle_std	Ua/Da	0.006305532500790578
Angle_std	Gi/Ba	0.006211433736812433
Angle_std	Ua/Gi	0.005638753286969167
Angle_std	Ua	0.005413873581698092
Angle_std	Gi/Da	0.005017850774341026
Angle_std	Gi	0.004345136944434391
Angle_std	Di	0.003602752399625486
Angle_std	Ga/Da	0.0022117928690845723
Angle_std	Ga	0.0019052344928237597
Angle_std	Ua/Ui	0.0013064793221145843
Angle_std	Da	0.0009744201816876963
Angle_std	Ua/Di	0.0008589602291185772
Angle_std	Gi/Di	0.0006321466976138002
Angle_std	Ga/Di	0.0006039568251204885
