feat	param	r2
Area_inverted_mean	Ga	0.024471814916718126
Area_inverted_mean	Ga/Da	0.024319214149621016
Area_inverted_mean	Ua/Ga	0.023849732936495838
Area_inverted_mean	Ua/Ui	0.010407513378313693
Area_inverted_mean	Gi/Di	0.008765674451438277
Area_inverted_mean	Da/Di	0.005625577773105461
Area_inverted_mean	Di	0.005607698261729022
Area_inverted_mean	Ga/Gi	0.004696848564630929
Area_inverted_mean	Gi	0.004309786825492323
Area_inverted_mean	Gi/Ba	0.0036872855268875737
Area_inverted_mean	Gi/Da	0.0032750856425060038
Area_inverted_mean	Da/Ba	0.0031562451108577694
Area_inverted_mean	Ui/Ba	0.002981816807425597
Area_inverted_mean	Ua/Gi	0.0017360305852274216
Area_inverted_mean	Ba	0.0016088643829653693
Area_inverted_mean	Ui/Di	0.0015418224622837373
Area_inverted_mean	Ua/Da	0.0014705298382835519
Area_inverted_mean	Ga/Di	0.0014081509680612392
Area_inverted_mean	Ua/Di	0.0013289608049270596
Area_inverted_mean	Ua	0.0009821119584334514
Area_inverted_mean	Da	0.0005800935225930282
Area_inverted_mean	Ui/Da	0.0005566402054688613
Area_inverted_mean	Ga/Ba	0.0004954189205420567
Area_inverted_mean	Ui	0.0002992916597072126
Area_inverted_mean	Ua/Ba	0.00014878761920100736
Area_inverted_mean	Ui/Gi	8.332035123936876e-05
Area_inverted_mean	Di/Ba	2.5065339460672575e-06
