feat	param	r2
Area_inverted_std	Ga	0.007637917273540573
Area_inverted_std	Ga/Da	0.007329381787663625
Area_inverted_std	Ua	0.0029781495706481254
Area_inverted_std	Ua/Da	0.0029290982549711186
Area_inverted_std	Ga/Gi	0.0025421100737889057
Area_inverted_std	Ua/Gi	0.0022125509193845483
Area_inverted_std	Gi	0.0021341828638157256
Area_inverted_std	Ua/Ga	0.0019974726717729707
Area_inverted_std	Gi/Da	0.0018480819390936931
Area_inverted_std	Gi/Di	0.001530452816593253
Area_inverted_std	Gi/Ba	0.001528483440503492
Area_inverted_std	Ga/Di	0.0014949226170991592
Area_inverted_std	Di	0.0005984511124611513
Area_inverted_std	Ui/Ba	0.0005187407695201873
Area_inverted_std	Da/Ba	0.0005174779057188772
Area_inverted_std	Ga/Ba	0.0004274989895209913
Area_inverted_std	Da/Di	0.00042690308013215716
Area_inverted_std	Ua/Ui	0.000307544225973011
Area_inverted_std	Ba	0.00023504827097653447
Area_inverted_std	Ua/Di	0.00022425621211630276
Area_inverted_std	Ui/Di	0.0002175932225512156
Area_inverted_std	Ua/Ba	0.00016273061290117408
Area_inverted_std	Ui/Gi	0.00012345407173719458
Area_inverted_std	Da	2.202649091287423e-05
Area_inverted_std	Di/Ba	6.669354708943587e-06
Area_inverted_std	Ui/Da	5.782730829628768e-06
Area_inverted_std	Ui	3.5937844421463083e-06
