feat	param	r2
Area_std	Ua/Ga	0.003499974162360142
Area_std	Ga/Da	0.003174635641310486
Area_std	Ga	0.003121944119892195
Area_std	Ua/Ui	0.002510061936191632
Area_std	Gi/Di	0.0019344193854780034
Area_std	Di	0.0017376222813189068
Area_std	Da/Di	0.001495394173353648
Area_std	Ui/Da	0.0012118791932779205
Area_std	Ui	0.0011717035104005236
Area_std	Ua/Di	0.0008452842032740104
Area_std	Ga/Gi	0.0007875098718523876
Area_std	Ui/Gi	0.0006082456694216365
Area_std	Gi	0.0005377681776916887
Area_std	Gi/Da	0.0003593128755778885
Area_std	Da/Ba	0.0003258600650999366
Area_std	Gi/Ba	0.0003182556574502504
Area_std	Ua/Gi	0.00024889072391409695
Area_std	Da	0.0001363536391377762
Area_std	Ga/Ba	0.0001356725176040463
Area_std	Di/Ba	0.00010964696595550105
Area_std	Ua/Ba	8.747940683540012e-05
Area_std	Ba	7.201478958873686e-05
Area_std	Ui/Di	1.1797356798126657e-05
Area_std	Ua	9.465422569188142e-06
Area_std	Ui/Ba	4.254389349589438e-06
Area_std	Ga/Di	1.212462494182276e-06
Area_std	Ua/Da	1.0813503620310527e-06
