feat	param	r2
BY_inverted_mean	Ga	0.020908225316543683
BY_inverted_mean	Ga/Da	0.020843879696970213
BY_inverted_mean	Ga/Gi	0.010890771710224345
BY_inverted_mean	Gi	0.008521894421597787
BY_inverted_mean	Ua/Ga	0.00796019027660988
BY_inverted_mean	Ua/Gi	0.007854049962035203
BY_inverted_mean	Gi/Di	0.007803212286228267
BY_inverted_mean	Gi/Da	0.006959901625785414
BY_inverted_mean	Ua/Da	0.005366619290270158
BY_inverted_mean	Ua	0.004724276420363216
BY_inverted_mean	Ua/Ui	0.0038605438625870514
BY_inverted_mean	Gi/Ba	0.003193138888093361
BY_inverted_mean	Ui/Gi	0.0030665955138063916
BY_inverted_mean	Ga/Ba	0.002630773709460854
BY_inverted_mean	Ga/Di	0.0022384549263994025
BY_inverted_mean	Da/Di	0.0021999934917642516
BY_inverted_mean	Di	0.001951099381203636
BY_inverted_mean	Ui/Da	0.0018702737219724597
BY_inverted_mean	Ui	0.0014497192142887139
BY_inverted_mean	Ua/Ba	0.0009683387459233916
BY_inverted_mean	Da/Ba	0.0005765890361938419
BY_inverted_mean	Da	0.0004012527878854977
BY_inverted_mean	Ba	0.00014253655337492788
BY_inverted_mean	Di/Ba	8.579852294110513e-05
BY_inverted_mean	Ui/Di	4.815752982612054e-05
BY_inverted_mean	Ui/Ba	3.6851595888065525e-05
BY_inverted_mean	Ua/Di	2.759140526609194e-05
