feat	param	r2
BY_mean	Ui/Ba	0.07137220654787524
BY_mean	Ui/Gi	0.047889194262102586
BY_mean	Ui	0.035662959864593335
BY_mean	Da/Ba	0.03498323778779189
BY_mean	Ui/Da	0.0314217469462833
BY_mean	Ui/Di	0.02647677794692216
BY_mean	Ba	0.02552350639301948
BY_mean	Ga/Ba	0.02137706851247223
BY_mean	Ua/Ga	0.018431217514424447
BY_mean	Ga/Gi	0.01565491830652377
BY_mean	Di/Ba	0.0127652858738867
BY_mean	Ua/Da	0.009450528333970198
BY_mean	Ua	0.0083122273926034
BY_mean	Gi/Ba	0.006922706687822355
BY_mean	Ua/Ba	0.006737284330613713
BY_mean	Gi/Da	0.0061854488227349735
BY_mean	Ua/Gi	0.005463258676998928
BY_mean	Da/Di	0.005439677434207368
BY_mean	Gi	0.005341370675152168
BY_mean	Ga/Da	0.00229388522043128
BY_mean	Di	0.0020376340327069586
BY_mean	Ga	0.0019105120090638916
BY_mean	Da	0.0012011758868178957
BY_mean	Ua/Ui	0.0009541687333645132
BY_mean	Ga/Di	0.00018576327884178845
BY_mean	Gi/Di	7.894983661449473e-05
BY_mean	Ua/Di	7.06698605693612e-05
