feat	param	r2
BY_std	Ui/Ba	0.06557926225707678
BY_std	Ui/Gi	0.04195438622873515
BY_std	Ui	0.03188522385861148
BY_std	Da/Ba	0.03179524600295569
BY_std	Ui/Da	0.02819402457276421
BY_std	Ui/Di	0.02631343315529533
BY_std	Ba	0.022805927169985418
BY_std	Ua/Ga	0.02053721197509184
BY_std	Ga/Ba	0.017825494729100888
BY_std	Ga/Gi	0.01208597604265893
BY_std	Di/Ba	0.010081786839112317
BY_std	Ua/Da	0.008193090480753784
BY_std	Ua	0.007257036651164617
BY_std	Gi/Ba	0.0067577968485869055
BY_std	Da/Di	0.006694575987592266
BY_std	Ua/Ba	0.006114893970089241
BY_std	Gi/Da	0.004377623289331667
BY_std	Ua/Gi	0.004207836435253021
BY_std	Gi	0.0037098938151359784
BY_std	Ga/Da	0.003469728984313969
BY_std	Di	0.0032071048950608194
BY_std	Ga	0.003132446979336012
BY_std	Ua/Ui	0.0014316095040654009
BY_std	Da	0.0010030379106497067
BY_std	Gi/Di	0.000532857859749325
BY_std	Ua/Di	0.00032925132368621934
BY_std	Ga/Di	0.0002058925265390199
