feat	param	r2
Circ._inverted_mean	Ua/Ga	0.026861011372449894
Circ._inverted_mean	Ui/Ba	0.017703512411961442
Circ._inverted_mean	Ui/Gi	0.015742896077376223
Circ._inverted_mean	Ua/Gi	0.010142552604067268
Circ._inverted_mean	Ua/Ba	0.00859156372663683
Circ._inverted_mean	Da/Ba	0.00845313752229182
Circ._inverted_mean	Ui/Di	0.008282473274663471
Circ._inverted_mean	Ua/Di	0.0073749431798432186
Circ._inverted_mean	Ua/Ui	0.007111328724849986
Circ._inverted_mean	Ba	0.006569025368959869
Circ._inverted_mean	Ga/Gi	0.0057831895270394895
Circ._inverted_mean	Di	0.005551660757949772
Circ._inverted_mean	Da/Di	0.005188193302417599
Circ._inverted_mean	Ui	0.004544136807559163
Circ._inverted_mean	Gi/Da	0.004162132176594224
Circ._inverted_mean	Gi	0.004039522025341524
Circ._inverted_mean	Ui/Da	0.00399948233327152
Circ._inverted_mean	Ga	0.003957586498775867
Circ._inverted_mean	Ga/Ba	0.003949239186170073
Circ._inverted_mean	Ga/Da	0.0037999461041059446
Circ._inverted_mean	Ua	0.003000646386213557
Circ._inverted_mean	Ua/Da	0.0024653055403401902
Circ._inverted_mean	Di/Ba	0.0008083640482330345
Circ._inverted_mean	Gi/Ba	0.0004201188544330492
Circ._inverted_mean	Gi/Di	0.0003186493105578059
Circ._inverted_mean	Da	0.00020817236763770453
Circ._inverted_mean	Ga/Di	5.5405185288570635e-05
