feat	param	r2
FeretAngle_inverted_std	Ga	0.01581252348711848
FeretAngle_inverted_std	Ga/Da	0.015476858405471194
FeretAngle_inverted_std	Ga/Gi	0.01033788762755572
FeretAngle_inverted_std	Gi	0.00948006319658079
FeretAngle_inverted_std	Ua/Gi	0.00868671529283671
FeretAngle_inverted_std	Gi/Di	0.008438162351419143
FeretAngle_inverted_std	Gi/Da	0.007994659563861917
FeretAngle_inverted_std	Ua/Ga	0.006720745971666275
FeretAngle_inverted_std	Ua/Da	0.0041499923858382415
FeretAngle_inverted_std	Ua	0.003804055341813828
FeretAngle_inverted_std	Gi/Ba	0.003732533335725763
FeretAngle_inverted_std	Ua/Ui	0.003354549319118272
FeretAngle_inverted_std	Ui/Gi	0.003316809076650329
FeretAngle_inverted_std	Da/Di	0.0023189350153006716
FeretAngle_inverted_std	Di	0.002309448299892436
FeretAngle_inverted_std	Ga/Ba	0.0015661935414781336
FeretAngle_inverted_std	Ui/Da	0.001366566275254999
FeretAngle_inverted_std	Ga/Di	0.0011771616725685385
FeretAngle_inverted_std	Ui	0.001088294978383919
FeretAngle_inverted_std	Ua/Ba	0.0006930725632727786
FeretAngle_inverted_std	Da/Ba	0.0005297227048347564
FeretAngle_inverted_std	Da	0.00020887702149430254
FeretAngle_inverted_std	Ba	0.0001911832052378104
FeretAngle_inverted_std	Ui/Di	0.00013716513319117496
FeretAngle_inverted_std	Di/Ba	0.00010561627117688932
FeretAngle_inverted_std	Ui/Ba	6.435484651490242e-05
FeretAngle_inverted_std	Ua/Di	1.03237104753795e-07
