feat	param	r2
FeretAngle_mean	Ui/Ba	0.028827418084478973
FeretAngle_mean	Ua/Ga	0.020853289174452394
FeretAngle_mean	Ui/Di	0.018030228960709938
FeretAngle_mean	Ui/Gi	0.015219322123922296
FeretAngle_mean	Ui	0.012343002367785294
FeretAngle_mean	Ui/Da	0.010986140890504759
FeretAngle_mean	Da/Di	0.010144059023757035
FeretAngle_mean	Da/Ba	0.009881543532766712
FeretAngle_mean	Di	0.008907681871119788
FeretAngle_mean	Gi/Di	0.006177572148032495
FeretAngle_mean	Ba	0.0054400258453941586
FeretAngle_mean	Ga	0.00464229042161568
FeretAngle_mean	Ga/Ba	0.004595877075409316
FeretAngle_mean	Ga/Da	0.004402517656095117
FeretAngle_mean	Ua/Di	0.00350233645417386
FeretAngle_mean	Gi/Ba	0.0029939199964926777
FeretAngle_mean	Ua/Ui	0.0029771927009277777
FeretAngle_mean	Ga/Gi	0.002120803685181638
FeretAngle_mean	Ua/Ba	0.002011350940801071
FeretAngle_mean	Ua/Da	0.001667570543901098
FeretAngle_mean	Ua	0.0014552241081488004
FeretAngle_mean	Ga/Di	0.0007852292080714474
FeretAngle_mean	Ua/Gi	0.0006327913081572989
FeretAngle_mean	Di/Ba	0.000569163634640435
FeretAngle_mean	Da	0.0002172814540419843
FeretAngle_mean	Gi	1.7644861048937699e-06
FeretAngle_mean	Gi/Da	1.449828804345188e-06
