feat	param	r2
FeretX_inverted_mean	Ga/Da	0.020287568366853193
FeretX_inverted_mean	Ga	0.020198967935236678
FeretX_inverted_mean	Ga/Gi	0.01028525782434897
FeretX_inverted_mean	Gi	0.008547887191551085
FeretX_inverted_mean	Ua/Ga	0.007652718848207396
FeretX_inverted_mean	Ua/Gi	0.007642232339911126
FeretX_inverted_mean	Gi/Di	0.0072969791289496655
FeretX_inverted_mean	Gi/Da	0.006969984228666459
FeretX_inverted_mean	Ua/Da	0.006132993768197981
FeretX_inverted_mean	Ua	0.005396655551305085
FeretX_inverted_mean	Ua/Ui	0.00404093750330059
FeretX_inverted_mean	Gi/Ba	0.003604353334344945
FeretX_inverted_mean	Ui/Gi	0.0032788764179930707
FeretX_inverted_mean	Ui/Da	0.0025830817049316
FeretX_inverted_mean	Ga/Di	0.0024956894105436778
FeretX_inverted_mean	Ga/Ba	0.0021802321988316775
FeretX_inverted_mean	Ui	0.002121930046975362
FeretX_inverted_mean	Da/Di	0.0017977492130420991
FeretX_inverted_mean	Di	0.0014717901409818657
FeretX_inverted_mean	Ua/Ba	0.0008862791208086307
FeretX_inverted_mean	Da/Ba	0.0008228289577724146
FeretX_inverted_mean	Da	0.0004589617779967581
FeretX_inverted_mean	Ba	0.0002724707730333842
FeretX_inverted_mean	Ua/Di	0.00014564442457387639
FeretX_inverted_mean	Ui/Ba	2.0756420122003405e-05
FeretX_inverted_mean	Di/Ba	9.934392810606596e-07
FeretX_inverted_mean	Ui/Di	5.636994796498485e-07
