feat	param	r2
FeretY_mean	Ui/Ba	0.0649422326935154
FeretY_mean	Ui/Gi	0.04025014637862301
FeretY_mean	Da/Ba	0.031397428920690085
FeretY_mean	Ui	0.030888953172817257
FeretY_mean	Ui/Da	0.026961014546698636
FeretY_mean	Ui/Di	0.024695587530593976
FeretY_mean	Ba	0.022390996847449163
FeretY_mean	Ua/Ga	0.021054202073825468
FeretY_mean	Ga/Ba	0.016779670437820027
FeretY_mean	Ga/Gi	0.010561794235119049
FeretY_mean	Di/Ba	0.010416133341676348
FeretY_mean	Ua/Da	0.008878061958839445
FeretY_mean	Ua	0.007699952220717066
FeretY_mean	Gi/Ba	0.0072817950816955745
FeretY_mean	Da/Di	0.0062058234907229615
FeretY_mean	Ua/Ba	0.00579602086882991
FeretY_mean	Ga/Da	0.004243698627948267
FeretY_mean	Ga	0.0037676137977005197
FeretY_mean	Gi/Da	0.0037393745749180196
FeretY_mean	Ua/Gi	0.003624048641073907
FeretY_mean	Gi	0.0030059694673451043
FeretY_mean	Di	0.0026419529228182137
FeretY_mean	Ua/Ui	0.0015230785695889981
FeretY_mean	Da	0.0012248691419982638
FeretY_mean	Gi/Di	0.0005575473833197009
FeretY_mean	Ua/Di	0.00015494674889982019
FeretY_mean	Ga/Di	6.902705265732223e-05
