feat	param	r2
FeretY_std	Ui/Ba	0.06538893121868561
FeretY_std	Ui/Gi	0.0422955847473061
FeretY_std	Da/Ba	0.03185435692001415
FeretY_std	Ui	0.031631317251906044
FeretY_std	Ui/Da	0.02787238760018884
FeretY_std	Ui/Di	0.026369079599139367
FeretY_std	Ba	0.022810273543204418
FeretY_std	Ua/Ga	0.020817005270260536
FeretY_std	Ga/Ba	0.01768481764005947
FeretY_std	Ga/Gi	0.012228011364975977
FeretY_std	Di/Ba	0.009937148180902522
FeretY_std	Ua/Da	0.007994739571659082
FeretY_std	Ua	0.00700564865360187
FeretY_std	Da/Di	0.006821684194771915
FeretY_std	Gi/Ba	0.0065720206007073845
FeretY_std	Ua/Ba	0.006221709552839072
FeretY_std	Gi/Da	0.004594482294107083
FeretY_std	Ua/Gi	0.004453573208372141
FeretY_std	Gi	0.003884887391767622
FeretY_std	Ga/Da	0.0036009985336034056
FeretY_std	Di	0.0032937795234303513
FeretY_std	Ga	0.0032247132235666554
FeretY_std	Ua/Ui	0.0014612824600254148
FeretY_std	Da	0.001071191290999085
FeretY_std	Gi/Di	0.0005174723788824442
FeretY_std	Ua/Di	0.000378151972309837
FeretY_std	Ga/Di	0.00019694002742320915
