feat	param	r2
Feret_inverted_std	Ga	0.008466361449270154
Feret_inverted_std	Ga/Da	0.008037240971552007
Feret_inverted_std	Ua/Ga	0.0040743899116362225
Feret_inverted_std	Gi/Di	0.002142075304703117
Feret_inverted_std	Ga/Gi	0.0020236804026650956
Feret_inverted_std	Ua/Ui	0.0015079399414286154
Feret_inverted_std	Di	0.0014633430095752908
Feret_inverted_std	Gi	0.0014215829330520569
Feret_inverted_std	Gi/Da	0.0011896798304779077
Feret_inverted_std	Da/Di	0.0011248470343511174
Feret_inverted_std	Ua/Da	0.0010990720432201284
Feret_inverted_std	Ua	0.0010820857280298135
Feret_inverted_std	Ua/Gi	0.0010575096329424882
Feret_inverted_std	Gi/Ba	0.0009186052588396887
Feret_inverted_std	Ga/Di	0.0008741015365312244
Feret_inverted_std	Ga/Ba	0.000488608076547159
Feret_inverted_std	Da/Ba	0.0004618887783351955
Feret_inverted_std	Ui/Da	0.0002486806000748798
Feret_inverted_std	Ui	0.0002479238738384293
Feret_inverted_std	Ui/Di	0.00023172073568611395
Feret_inverted_std	Ui/Ba	0.00021251864817095623
Feret_inverted_std	Ui/Gi	0.00017377097141657583
Feret_inverted_std	Ba	0.0001506402248671046
Feret_inverted_std	Di/Ba	4.212332831332599e-05
Feret_inverted_std	Ua/Di	3.327199865554853e-05
Feret_inverted_std	Da	2.0726506650747822e-05
Feret_inverted_std	Ua/Ba	1.3059466999254532e-05
