feat	param	r2
Height_inverted_mean	Ga/Da	0.02244292948561577
Height_inverted_mean	Ga	0.022386876424259405
Height_inverted_mean	Ga/Gi	0.012184161446993746
Height_inverted_mean	Gi	0.009980492910456662
Height_inverted_mean	Ua/Gi	0.009095189119565306
Height_inverted_mean	Gi/Di	0.008669577224863612
Height_inverted_mean	Ua/Ga	0.008394350036680764
Height_inverted_mean	Gi/Da	0.008200767665495157
Height_inverted_mean	Ua/Da	0.00623759546512026
Height_inverted_mean	Ua	0.005484752300655704
Height_inverted_mean	Ua/Ui	0.004136208635983962
Height_inverted_mean	Gi/Ba	0.003740019360865765
Height_inverted_mean	Ui/Gi	0.0036138424519778223
Height_inverted_mean	Ga/Ba	0.0028243361437929604
Height_inverted_mean	Ga/Di	0.0024745481626679
Height_inverted_mean	Da/Di	0.0023047536781213296
Height_inverted_mean	Ui/Da	0.0021330015779938982
Height_inverted_mean	Di	0.0020771173195659465
Height_inverted_mean	Ui	0.0016767906960131196
Height_inverted_mean	Ua/Ba	0.0011361730214517474
Height_inverted_mean	Da/Ba	0.0006029639572837642
Height_inverted_mean	Da	0.0004520044504749965
Height_inverted_mean	Ba	0.00015940776811718127
Height_inverted_mean	Di/Ba	8.752239463793998e-05
Height_inverted_mean	Ua/Di	6.791604639799775e-05
Height_inverted_mean	Ui/Ba	3.3506429326424225e-05
Height_inverted_mean	Ui/Di	2.9271784465323414e-05
