feat	param	r2
Height_mean	Ui/Ba	0.07294752194164811
Height_mean	Ui/Gi	0.04956905169437731
Height_mean	Da/Ba	0.03632702476134453
Height_mean	Ui	0.03614460444592238
Height_mean	Ui/Da	0.03175041175121618
Height_mean	Ui/Di	0.02676813289954627
Height_mean	Ba	0.026406348416829206
Height_mean	Ga/Ba	0.022234427520295696
Height_mean	Ua/Ga	0.01862352747991658
Height_mean	Ga/Gi	0.016612430098082553
Height_mean	Di/Ba	0.013566869589460517
Height_mean	Ua/Da	0.009621811664200064
Height_mean	Ua	0.008411790495761573
Height_mean	Ua/Ba	0.007121518382050107
Height_mean	Gi/Ba	0.007028553021297901
Height_mean	Gi/Da	0.006711875140325896
Height_mean	Ua/Gi	0.0059216861108774
Height_mean	Gi	0.005811927223299929
Height_mean	Da/Di	0.005394682610060708
Height_mean	Ga/Da	0.0022824148047422277
Height_mean	Di	0.0018760911805132396
Height_mean	Ga	0.001865818395326957
Height_mean	Da	0.0012801112366613854
Height_mean	Ua/Ui	0.0010155136223601868
Height_mean	Ga/Di	0.00017145563350939863
Height_mean	Ua/Di	6.044413266381721e-05
Height_mean	Gi/Di	5.007764469577847e-05
