feat	param	r2
Mean	Ga/Ba	0.3122108954247642
Mean	Ga	0.2823011624913331
Mean	Ua/Ga	0.27723801207194254
Mean	Ga/Da	0.2628305552476673
Mean	Ui/Ba	0.2571356646018963
Mean	Ga/Gi	0.24001567155682502
Mean	Ui/Gi	0.19859139425785688
Mean	Ui	0.19799696755227225
Mean	Ui/Da	0.18786686778560702
Mean	Ua/Ui	0.15381809174469807
Mean	Ua	0.09498077869388599
Mean	Ba	0.09043415755596318
Mean	Da/Ba	0.08876010848671478
Mean	Ua/Da	0.0854464732075364
Mean	Ga/Di	0.07565230361445074
Mean	Di/Ba	0.06912494669549729
Mean	Ui/Di	0.06399447808502745
Mean	Gi	0.05178455559266271
Mean	Gi/Da	0.04623307429307466
Mean	Ua/Di	0.042299444200272096
Mean	Gi/Di	0.03340084759884243
Mean	Gi/Ba	0.007678772604996165
Mean	Ua/Gi	0.00488131951484938
Mean	Di	0.0043265576698700015
Mean	Da/Di	0.002918894147079132
Mean	Ua/Ba	0.0022427378855662816
Mean	Da	9.918080210402636e-05
