feat	param	r2
Mean_inverted	Ga/Ba	0.3122108963309169
Mean_inverted	Ga	0.28230116114891546
Mean_inverted	Ua/Ga	0.2772380124699336
Mean_inverted	Ga/Da	0.2628305554458892
Mean_inverted	Ui/Ba	0.2571356641875828
Mean_inverted	Ga/Gi	0.240015672478881
Mean_inverted	Ui/Gi	0.1985913964694569
Mean_inverted	Ui	0.1979969664721266
Mean_inverted	Ui/Da	0.18786686784524065
Mean_inverted	Ua/Ui	0.153818091714085
Mean_inverted	Ua	0.09498078030345147
Mean_inverted	Ba	0.09043415575256708
Mean_inverted	Da/Ba	0.08876010870553219
Mean_inverted	Ua/Da	0.08544647372863012
Mean_inverted	Ga/Di	0.07565230030886971
Mean_inverted	Di/Ba	0.06912494882808962
Mean_inverted	Ui/Di	0.06399447598309649
Mean_inverted	Gi	0.05178455764728007
Mean_inverted	Gi/Da	0.046233075796749845
Mean_inverted	Ua/Di	0.042299445423553794
Mean_inverted	Gi/Di	0.033400850611708055
Mean_inverted	Gi/Ba	0.0076787721104332185
Mean_inverted	Ua/Gi	0.004881319700169584
Mean_inverted	Di	0.004326558396594016
Mean_inverted	Da/Di	0.002918894991566501
Mean_inverted	Ua/Ba	0.002242737920947091
Mean_inverted	Da	9.918086255267244e-05
