feat	param	r2
MinFeret_mean	Ui/Ba	0.07253096060328079
MinFeret_mean	Ui/Gi	0.049183560466206866
MinFeret_mean	Ui	0.035964279430866
MinFeret_mean	Da/Ba	0.03591684739720724
MinFeret_mean	Ui/Da	0.031605335465337725
MinFeret_mean	Ui/Di	0.02684950337957237
MinFeret_mean	Ba	0.02606576233118474
MinFeret_mean	Ga/Ba	0.021799393924249677
MinFeret_mean	Ua/Ga	0.01889964845058567
MinFeret_mean	Ga/Gi	0.016232720150102464
MinFeret_mean	Di/Ba	0.013239032115345162
MinFeret_mean	Ua/Da	0.009464602435520275
MinFeret_mean	Ua	0.008273795302250475
MinFeret_mean	Ua/Ba	0.007050764355519545
MinFeret_mean	Gi/Ba	0.006975276589034629
MinFeret_mean	Gi/Da	0.006535698082193897
MinFeret_mean	Ua/Gi	0.00582864542485495
MinFeret_mean	Gi	0.0056516714553561664
MinFeret_mean	Da/Di	0.0054987885007162784
MinFeret_mean	Ga/Da	0.0024055501141698743
MinFeret_mean	Ga	0.0019904378269892664
MinFeret_mean	Di	0.0019708031106320245
MinFeret_mean	Da	0.0012576510578932165
MinFeret_mean	Ua/Ui	0.001028779892795928
MinFeret_mean	Ga/Di	0.00016723862091749808
MinFeret_mean	Ua/Di	7.57815605788581e-05
MinFeret_mean	Gi/Di	6.931601422865974e-05
