feat	param	r2
Minor_mean	Ui/Ba	0.07277380063568639
Minor_mean	Ui/Gi	0.048062449562041976
Minor_mean	Ui	0.03598198132658981
Minor_mean	Da/Ba	0.03566483066320292
Minor_mean	Ui/Da	0.0315868075201603
Minor_mean	Ui/Di	0.027224135197253863
Minor_mean	Ba	0.025798905604410338
Minor_mean	Ga/Ba	0.02105142722721065
Minor_mean	Ua/Ga	0.01951867618286074
Minor_mean	Ga/Gi	0.014876112768305916
Minor_mean	Di/Ba	0.012886288445696836
Minor_mean	Ua/Da	0.01011690374831431
Minor_mean	Ua	0.008899976640923568
Minor_mean	Gi/Ba	0.007368113716745062
Minor_mean	Ua/Ba	0.006610195568840682
Minor_mean	Da/Di	0.005746331399512528
Minor_mean	Gi/Da	0.005733904787234678
Minor_mean	Ua/Gi	0.004979943207925941
Minor_mean	Gi	0.00487531424666976
Minor_mean	Ga/Da	0.002834087987550582
Minor_mean	Ga	0.0023987458079983703
Minor_mean	Di	0.002141949608985061
Minor_mean	Da	0.0012501348194388084
Minor_mean	Ua/Ui	0.0010874086993341026
Minor_mean	Gi/Di	0.0001622865520256589
Minor_mean	Ga/Di	0.00014076663807649492
Minor_mean	Ua/Di	6.719968767199269e-05
