feat	param	r2
Perim._inverted_mean	Ga/Gi	0.011047956018318983
Perim._inverted_mean	Ua/Gi	0.010161286829207028
Perim._inverted_mean	Gi	0.008662564770446579
Perim._inverted_mean	Gi/Da	0.007577264731709943
Perim._inverted_mean	Ui/Gi	0.007053282628404656
Perim._inverted_mean	Ga/Da	0.006511837556722133
Perim._inverted_mean	Ga	0.0064428679223201835
Perim._inverted_mean	Ua/Da	0.004158746013915415
Perim._inverted_mean	Ua	0.003917161314773265
Perim._inverted_mean	Gi/Di	0.003641320965832806
Perim._inverted_mean	Ga/Ba	0.0031604298951265486
Perim._inverted_mean	Ua/Ba	0.0026185216179434034
Perim._inverted_mean	Ui/Da	0.0026170082342413803
Perim._inverted_mean	Ui	0.0023983970822326617
Perim._inverted_mean	Ui/Ba	0.0015401898215565701
Perim._inverted_mean	Gi/Ba	0.0013310015038552336
Perim._inverted_mean	Ga/Di	0.0011967048666541302
Perim._inverted_mean	Ua/Di	0.000942484671751953
Perim._inverted_mean	Ui/Di	0.0007261772946786094
Perim._inverted_mean	Ua/Ui	0.0004353234916829596
Perim._inverted_mean	Ba	0.00031934510510034375
Perim._inverted_mean	Di/Ba	0.00018890883157918203
Perim._inverted_mean	Ua/Ga	0.00018857317576670418
Perim._inverted_mean	Da/Ba	0.0001798801784044235
Perim._inverted_mean	Da	8.443404574276503e-05
Perim._inverted_mean	Da/Di	7.877427284597172e-05
Perim._inverted_mean	Di	1.2371200399985405e-05
