feat	param	r2
Perim._inverted_std	Ga	0.007785274596640579
Perim._inverted_std	Ga/Da	0.007673032807225755
Perim._inverted_std	Ua/Ga	0.003257326578569475
Perim._inverted_std	Ga/Gi	0.0019005586026731303
Perim._inverted_std	Gi/Di	0.001789610159196986
Perim._inverted_std	Ua/Da	0.0016084499394368734
Perim._inverted_std	Gi	0.0015736452880187324
Perim._inverted_std	Ua	0.0014673343797617644
Perim._inverted_std	Ua/Ui	0.0014161347014816084
Perim._inverted_std	Gi/Da	0.001240624616486885
Perim._inverted_std	Gi/Ba	0.0012012989969223398
Perim._inverted_std	Ua/Gi	0.0011845303505580995
Perim._inverted_std	Ga/Di	0.001126561760063316
Perim._inverted_std	Di	0.0009411121413401835
Perim._inverted_std	Da/Di	0.0007502413424531618
Perim._inverted_std	Da/Ba	0.0007230174246595222
Perim._inverted_std	Ui/Da	0.0004510985991221794
Perim._inverted_std	Ui	0.0003993661505435897
Perim._inverted_std	Ui/Gi	0.00033661552781938386
Perim._inverted_std	Ga/Ba	0.0003082297549305002
Perim._inverted_std	Ba	0.00030022934950024727
Perim._inverted_std	Ui/Ba	0.00016089165547883422
Perim._inverted_std	Da	7.915719480822148e-05
Perim._inverted_std	Ui/Di	6.226814778220735e-05
Perim._inverted_std	Ua/Ba	1.5262965334494893e-05
Perim._inverted_std	Ua/Di	6.095006161221939e-06
Perim._inverted_std	Di/Ba	1.8999291102606009e-06
