feat	param	r2
Perim._mean	Ui/Ba	0.07055092417436448
Perim._mean	Ui/Gi	0.051280027853078614
Perim._mean	Ui	0.036022625133284136
Perim._mean	Da/Ba	0.03485282255988498
Perim._mean	Ui/Da	0.03183495675025627
Perim._mean	Ui/Di	0.02575299789546548
Perim._mean	Ba	0.025505355331071455
Perim._mean	Ga/Ba	0.022605335827804773
Perim._mean	Ga/Gi	0.018931531274624325
Perim._mean	Ua/Ga	0.017091292067816455
Perim._mean	Di/Ba	0.01349660331628133
Perim._mean	Gi/Da	0.008431571952625116
Perim._mean	Ua/Gi	0.00786982299948058
Perim._mean	Ua/Ba	0.007854947331583984
Perim._mean	Gi	0.007589385480825217
Perim._mean	Ua/Da	0.007560425642362034
Perim._mean	Ua	0.00650990004433627
Perim._mean	Gi/Ba	0.005725741508894044
Perim._mean	Da/Di	0.004696052023107633
Perim._mean	Di	0.001506800973576583
Perim._mean	Ga/Da	0.0014212476334836133
Perim._mean	Da	0.001164890988257672
Perim._mean	Ga	0.0011013187114624623
Perim._mean	Ua/Ui	0.0007864164195683365
Perim._mean	Ga/Di	0.00021303575972242417
Perim._mean	Ua/Di	9.716257132474926e-05
Perim._mean	Gi/Di	7.254115331090105e-06
