feat	param	r2
Solidity_inverted_mean	Ua/Ga	0.034240824793755786
Solidity_inverted_mean	Ua/Ui	0.014697423474037907
Solidity_inverted_mean	Ui/Ba	0.011535184558129075
Solidity_inverted_mean	Ua/Di	0.011383239421520641
Solidity_inverted_mean	Ua/Ba	0.01073044137916157
Solidity_inverted_mean	Ua/Gi	0.010280330101761548
Solidity_inverted_mean	Ui/Gi	0.008556530180702682
Solidity_inverted_mean	Ua	0.007593907557599366
Solidity_inverted_mean	Da/Ba	0.00719606189714006
Solidity_inverted_mean	Di	0.006885310117195953
Solidity_inverted_mean	Da/Di	0.0063740215208291096
Solidity_inverted_mean	Ua/Da	0.006280604874395634
Solidity_inverted_mean	Ui/Di	0.005234984511974683
Solidity_inverted_mean	Ba	0.0049977060214617675
Solidity_inverted_mean	Ga	0.0049226405590939715
Solidity_inverted_mean	Ga/Da	0.004864548116043088
Solidity_inverted_mean	Ga/Gi	0.0038699285515922943
Solidity_inverted_mean	Ga/Ba	0.0030166882906175196
Solidity_inverted_mean	Gi/Da	0.0026392228559379838
Solidity_inverted_mean	Gi	0.00245142545052901
Solidity_inverted_mean	Gi/Di	0.0010263843180091659
Solidity_inverted_mean	Ui	0.0007594249816902376
Solidity_inverted_mean	Ui/Da	0.0005351546361664905
Solidity_inverted_mean	Gi/Ba	0.0003576512245690999
Solidity_inverted_mean	Da	0.00031915707805563187
Solidity_inverted_mean	Di/Ba	0.0003129393063524555
Solidity_inverted_mean	Ga/Di	0.00010431149821876762
