feat	param	r2
Solidity_inverted_std	Ga	0.010618599531230344
Solidity_inverted_std	Ga/Da	0.010307687936845222
Solidity_inverted_std	Ua/Ga	0.00785748365760297
Solidity_inverted_std	Ua/Ui	0.004373077082036381
Solidity_inverted_std	Gi/Di	0.003213683263668332
Solidity_inverted_std	Di	0.002391951935639125
Solidity_inverted_std	Da/Di	0.0022212468426098253
Solidity_inverted_std	Ga/Gi	0.002073242802175468
Solidity_inverted_std	Ui/Da	0.0014896983712979761
Solidity_inverted_std	Ui	0.0014253524076848212
Solidity_inverted_std	Gi	0.0011002722598055792
Solidity_inverted_std	Gi/Da	0.0008026356284934755
Solidity_inverted_std	Ua/Di	0.0007353603760481553
Solidity_inverted_std	Gi/Ba	0.0006602556080631539
Solidity_inverted_std	Da/Ba	0.000642469558301606
Solidity_inverted_std	Ga/Ba	0.0005801802759533015
Solidity_inverted_std	Ga/Di	0.0004981259827484541
Solidity_inverted_std	Ui/Gi	0.0004460880497217934
Solidity_inverted_std	Ua/Gi	0.000363497289736725
Solidity_inverted_std	Ba	0.0002200441583525281
Solidity_inverted_std	Ua/Da	0.00012728776257930896
Solidity_inverted_std	Da	0.0001256913586203945
Solidity_inverted_std	Di/Ba	8.754231648233635e-05
Solidity_inverted_std	Ui/Di	7.961085492746989e-05
Solidity_inverted_std	Ua/Ba	7.434622267310509e-05
Solidity_inverted_std	Ua	7.251471996816417e-05
Solidity_inverted_std	Ui/Ba	1.530362935420193e-05
