feat	param	r2
Width_inverted_std	Ga	0.008773481612927791
Width_inverted_std	Ga/Da	0.008295323361095064
Width_inverted_std	Ua/Ga	0.0042822143006412405
Width_inverted_std	Gi/Di	0.0023093862083740646
Width_inverted_std	Ga/Gi	0.002137139950309175
Width_inverted_std	Ua/Ui	0.0016082427802707189
Width_inverted_std	Di	0.001584952457566735
Width_inverted_std	Gi	0.0014755169207619767
Width_inverted_std	Gi/Da	0.0012401464653080119
Width_inverted_std	Da/Di	0.0012129902865256614
Width_inverted_std	Ua/Gi	0.0011053573422327156
Width_inverted_std	Ua/Da	0.001104880372884809
Width_inverted_std	Ua	0.001094027028360478
Width_inverted_std	Gi/Ba	0.0008962363330471401
Width_inverted_std	Ga/Di	0.0008504117990133508
Width_inverted_std	Ga/Ba	0.0005460196723746646
Width_inverted_std	Da/Ba	0.0004455079153399266
Width_inverted_std	Ui/Da	0.0002620208857704309
Width_inverted_std	Ui	0.00026056448676448074
Width_inverted_std	Ui/Di	0.0002567388133711823
Width_inverted_std	Ui/Ba	0.00020479805496487202
Width_inverted_std	Ui/Gi	0.00018790076895391916
Width_inverted_std	Ba	0.00013304073477882206
Width_inverted_std	Di/Ba	5.792165719553655e-05
Width_inverted_std	Ua/Di	4.587294692570687e-05
Width_inverted_std	Da	1.9118772324189237e-05
Width_inverted_std	Ua/Ba	1.7867028681783914e-05
