feat	param	r2
Width_std	Ga	0.008141830939375816
Width_std	Ga/Da	0.0077626693913359635
Width_std	Ua/Ga	0.006780680907757852
Width_std	Gi/Di	0.004333456725552964
Width_std	Di	0.003599213016909464
Width_std	Da/Di	0.0029349326343292015
Width_std	Ga/Gi	0.002245556909187263
Width_std	Ua/Ui	0.002202973727945201
Width_std	Gi	0.0015836334907163296
Width_std	Gi/Da	0.001233187668016722
Width_std	Ua/Gi	0.0011673919144477019
Width_std	Ua/Di	0.0009902674074575568
Width_std	Gi/Ba	0.0008836075940301669
Width_std	Ui/Di	0.0008802692397891221
Width_std	Da/Ba	0.0006451392397217592
Width_std	Ui/Ba	0.0005280673480047016
Width_std	Ga/Ba	0.0004222260624486829
Width_std	Ua/Da	0.00037038964018520915
Width_std	Ua	0.00034079258966890347
Width_std	Di/Ba	0.0002321855244390436
Width_std	Ba	0.00016383572262157475
Width_std	Ui/Gi	0.00015160319031448655
Width_std	Ui/Da	0.000141984408139173
Width_std	Ui	0.00010962866505659363
Width_std	Da	7.970601007423195e-05
Width_std	Ga/Di	4.760210614818128e-05
Width_std	Ua/Ba	1.208234686966847e-06
