feat	param	r2
X_std	Ui/Ba	0.0681264229763251
X_std	Ui/Gi	0.04509098225278041
X_std	Da/Ba	0.03331332088016825
X_std	Ui	0.0332508989671394
X_std	Ui/Da	0.029268621098616276
X_std	Ui/Di	0.02691822823112877
X_std	Ba	0.02400240592628866
X_std	Ua/Ga	0.020329458408789525
X_std	Ga/Ba	0.01935894737069599
X_std	Ga/Gi	0.013868219881643218
X_std	Di/Ba	0.010967661204093204
X_std	Ua/Da	0.00842941387734708
X_std	Ua	0.007381916135732913
X_std	Gi/Ba	0.006674962449794264
X_std	Da/Di	0.00654713241569338
X_std	Ua/Ba	0.006543337581970343
X_std	Gi/Da	0.005350390396963389
X_std	Ua/Gi	0.005033973297631555
X_std	Gi	0.004575209964139737
X_std	Ga/Da	0.0030555384875100566
X_std	Di	0.0029079104087015306
X_std	Ga	0.00266540409149596
X_std	Ua/Ui	0.0013419710261644013
X_std	Da	0.0011236135065525454
X_std	Gi/Di	0.0003406889837028748
X_std	Ua/Di	0.00027460798184175683
X_std	Ga/Di	0.00022224464329645421
