feat	param	r2
num_spots_inverted	Ua/Da	0.01587174062463037
num_spots_inverted	Ua	0.013513934184845922
num_spots_inverted	Ga/Da	0.012379020898505622
num_spots_inverted	Ua/Gi	0.011183802100275253
num_spots_inverted	Ga	0.010526307687940495
num_spots_inverted	Gi	0.007512036208225048
num_spots_inverted	Ga/Gi	0.006859863398047561
num_spots_inverted	Gi/Da	0.005569032481325564
num_spots_inverted	Gi/Ba	0.004739052022915913
num_spots_inverted	Gi/Di	0.0035649704465873233
num_spots_inverted	Ua/Di	0.0035370809822707905
num_spots_inverted	Ui/Gi	0.0033169592563327965
num_spots_inverted	Ga/Di	0.002787657505537444
num_spots_inverted	Ui/Da	0.002459848403291276
num_spots_inverted	Da/Ba	0.0020650671509698793
num_spots_inverted	Ua/Ba	0.0015991344352395132
num_spots_inverted	Ui	0.0015584269278402507
num_spots_inverted	Da	0.001440448388450033
num_spots_inverted	Ua/Ga	0.0010842675206199637
num_spots_inverted	Ua/Ui	0.0009499484142991843
num_spots_inverted	Ba	0.0009486591061351746
num_spots_inverted	Di/Ba	0.0006902684776928236
num_spots_inverted	Ui/Di	0.0004309665887629599
num_spots_inverted	Ga/Ba	0.00035230651802620194
num_spots_inverted	Ui/Ba	0.00020767246409036932
num_spots_inverted	Da/Di	0.0001971793332646854
num_spots_inverted	Di	3.409678673471639e-05
