feat	param	r2
%Area_std	Di/Ba	1.0
%Area_inverted_std	Di/Ba	1.0
Mean_inverted	Di/Ba	0.06912494882808962
Mean	Di/Ba	0.06912494669549729
RawIntDen_inverted_mean	Di/Ba	0.06486145223238904
IntDen_inverted_mean	Di/Ba	0.06486145223238904
IntDen_mean	Di/Ba	0.06259096398465158
RawIntDen_mean	Di/Ba	0.06259096398465158
Median	Di/Ba	0.06161031026388719
Median_inverted	Di/Ba	0.06161031026388719
%Area_inverted_mean	Di/Ba	0.06122609854553762
num_spots	Di/Ba	0.033741642626351154
%Area_mean	Di/Ba	0.020967915296873585
Width_mean	Di/Ba	0.01361774391762649
Height_mean	Di/Ba	0.013566869589460517
Major_mean	Di/Ba	0.013557463863016705
Perim._mean	Di/Ba	0.01349660331628133
Circ._mean	Di/Ba	0.013453558019785317
Feret_mean	Di/Ba	0.013387142772462002
MinFeret_mean	Di/Ba	0.013239032115345162
Minor_mean	Di/Ba	0.012886288445696836
BY_mean	Di/Ba	0.0127652858738867
BX_mean	Di/Ba	0.012663310802005556
FeretX_mean	Di/Ba	0.012379718092322856
Area_mean	Di/Ba	0.01197362007625069
X_std	Di/Ba	0.010967661204093204
Y_std	Di/Ba	0.010722450574082498
FeretY_mean	Di/Ba	0.010416133341676348
BX_std	Di/Ba	0.010317618181818977
FeretX_std	Di/Ba	0.010201608986283306
BY_std	Di/Ba	0.010081786839112317
FeretY_std	Di/Ba	0.009937148180902522
Angle_std	Di/Ba	0.0098438298908482
Solidity_std	Di/Ba	0.007360647187448666
Round_std	Di/Ba	0.006767627917945274
Angle_inverted_mean	Di/Ba	0.006734867435956415
Solidity_mean	Di/Ba	0.00408580278854187
FeretAngle_std	Di/Ba	0.004012878845559231
Round_mean	Di/Ba	0.0020203501922039235
Angle_mean	Di/Ba	0.0015487257911580565
AR_std	Di/Ba	0.001032097748550953
FeretAngle_inverted_mean	Di/Ba	0.0009124978191199506
Circ._inverted_mean	Di/Ba	0.0008083640482330345
FeretY_inverted_mean	Di/Ba	0.0007196640821327538
num_spots_inverted	Di/Ba	0.0006902684776928236
X_inverted_mean	Di/Ba	0.0006244514140265611
FeretAngle_mean	Di/Ba	0.000569163634640435
Y_mean	Di/Ba	0.0005585769436609045
X_mean	Di/Ba	0.0003984562362369104
AR_mean	Di/Ba	0.0003679757400987249
Solidity_inverted_mean	Di/Ba	0.0003129393063524555
Major_std	Di/Ba	0.0002713497681711141
Width_std	Di/Ba	0.0002321855244390436
Height_std	Di/Ba	0.00019793412271740252
Perim._inverted_mean	Di/Ba	0.00018890883157918203
Feret_std	Di/Ba	0.00017826306137525005
Y_inverted_std	Di/Ba	0.00016917697894003325
Circ._std	Di/Ba	0.00015046906436566587
MinFeret_std	Di/Ba	0.00012524501121913278
Angle_inverted_std	Di/Ba	0.00012463107688065467
FeretY_inverted_std	Di/Ba	0.00011935669147677963
Minor_std	Di/Ba	0.00011370482539085902
RawIntDen_std	Di/Ba	0.00010964696595594514
IntDen_std	Di/Ba	0.00010964696595594514
Area_std	Di/Ba	0.00010964696595550105
FeretAngle_inverted_std	Di/Ba	0.00010561627117688932
BY_inverted_std	Di/Ba	0.00010435865050584248
MinFeret_inverted_mean	Di/Ba	9.651679769961952e-05
Solidity_inverted_std	Di/Ba	8.754231648233635e-05
Height_inverted_mean	Di/Ba	8.752239463793998e-05
Feret_inverted_mean	Di/Ba	8.733834120877582e-05
BY_inverted_mean	Di/Ba	8.579852294110513e-05
Round_inverted_std	Di/Ba	8.540373305576665e-05
Round_inverted_mean	Di/Ba	8.258749390788189e-05
Width_inverted_mean	Di/Ba	8.216305496178133e-05
Width_inverted_std	Di/Ba	5.792165719553655e-05
X_inverted_std	Di/Ba	5.6612791167864884e-05
Height_inverted_std	Di/Ba	5.242491796153548e-05
Perim._std	Di/Ba	4.640020985691162e-05
Feret_inverted_std	Di/Ba	4.212332831332599e-05
Minor_inverted_mean	Di/Ba	3.2290753452013377e-05
Circ._inverted_std	Di/Ba	3.2102706582493035e-05
MinFeret_inverted_std	Di/Ba	2.5774637075870466e-05
AR_inverted_std	Di/Ba	2.3989551274139487e-05
Major_inverted_mean	Di/Ba	2.056968868913156e-05
Major_inverted_std	Di/Ba	1.9783676442286513e-05
AR_inverted_mean	Di/Ba	1.3899264799999145e-05
IntDen_inverted_std	Di/Ba	6.669354709054609e-06
RawIntDen_inverted_std	Di/Ba	6.669354709054609e-06
Area_inverted_std	Di/Ba	6.669354708943587e-06
FeretX_inverted_std	Di/Ba	2.707124854839371e-06
Area_inverted_mean	Di/Ba	2.5065339460672575e-06
Y_inverted_mean	Di/Ba	2.1440460450383725e-06
Perim._inverted_std	Di/Ba	1.8999291102606009e-06
BX_inverted_std	Di/Ba	1.6052428410961994e-06
FeretX_inverted_mean	Di/Ba	9.934392810606596e-07
BX_inverted_mean	Di/Ba	7.338013374713626e-07
Minor_inverted_std	Di/Ba	4.9364835108534066e-08
