feat	param	r2
%Area_std	Ga/Gi	1.0
%Area_inverted_std	Ga/Gi	1.0
IntDen_inverted_mean	Ga/Gi	0.2472259511754602
RawIntDen_inverted_mean	Ga/Gi	0.2472259511754602
Mean_inverted	Ga/Gi	0.240015672478881
Mean	Ga/Gi	0.24001567155682502
IntDen_mean	Ga/Gi	0.2212120270478849
RawIntDen_mean	Ga/Gi	0.2212120270478849
Median_inverted	Ga/Gi	0.2056075737335037
Median	Ga/Gi	0.2056075737335037
%Area_inverted_mean	Ga/Gi	0.198239681272797
%Area_mean	Ga/Gi	0.13412256700516756
Circ._mean	Ga/Gi	0.032180287422633014
Perim._mean	Ga/Gi	0.018931531274624325
Width_mean	Ga/Gi	0.01663259676945028
Height_mean	Ga/Gi	0.016612430098082553
Feret_mean	Ga/Gi	0.01657760602079683
MinFeret_mean	Ga/Gi	0.016232720150102464
BX_mean	Ga/Gi	0.016029796235001448
FeretX_mean	Ga/Gi	0.015909643662331607
BY_mean	Ga/Gi	0.01565491830652377
Major_mean	Ga/Gi	0.015551637926927264
Minor_mean	Ga/Gi	0.014876112768305916
Angle_std	Ga/Gi	0.014548794268029686
X_std	Ga/Gi	0.013868219881643218
Area_mean	Ga/Gi	0.013788466202324545
Y_std	Ga/Gi	0.013412586814762206
num_spots	Ga/Gi	0.013183633970891728
BX_std	Ga/Gi	0.012963084225051213
FeretX_std	Ga/Gi	0.012937312513418231
FeretY_std	Ga/Gi	0.012228011364975977
Height_inverted_mean	Ga/Gi	0.012184161446993746
Width_inverted_mean	Ga/Gi	0.012148546503174429
Feret_inverted_mean	Ga/Gi	0.012097821866248082
BY_std	Ga/Gi	0.01208597604265893
MinFeret_inverted_mean	Ga/Gi	0.012055622256882503
Angle_inverted_std	Ga/Gi	0.011303072710953432
Perim._inverted_mean	Ga/Gi	0.011047956018318983
BY_inverted_mean	Ga/Gi	0.010890771710224345
X_inverted_std	Ga/Gi	0.01065464222706003
Y_inverted_std	Ga/Gi	0.010582755814087297
FeretY_mean	Ga/Gi	0.010561794235119049
FeretAngle_inverted_std	Ga/Gi	0.01033788762755572
BX_inverted_mean	Ga/Gi	0.01032461948674479
FeretX_inverted_mean	Ga/Gi	0.01028525782434897
FeretY_inverted_std	Ga/Gi	0.010087778464633934
BY_inverted_std	Ga/Gi	0.00982600561522573
FeretAngle_std	Ga/Gi	0.009311608081870149
FeretX_inverted_std	Ga/Gi	0.009278474683374727
BX_inverted_std	Ga/Gi	0.009244237130431987
Round_inverted_std	Ga/Gi	0.008580265545489518
Minor_inverted_mean	Ga/Gi	0.007300913770170614
Major_inverted_mean	Ga/Gi	0.007232049510183858
num_spots_inverted	Ga/Gi	0.006859863398047561
Round_std	Ga/Gi	0.006820251653735232
Angle_inverted_mean	Ga/Gi	0.005952478554450247
Circ._inverted_mean	Ga/Gi	0.0057831895270394895
Round_inverted_mean	Ga/Gi	0.004997808902419298
Area_inverted_mean	Ga/Gi	0.004696848564630929
Circ._inverted_std	Ga/Gi	0.004445282739863332
Solidity_inverted_mean	Ga/Gi	0.0038699285515922943
Major_inverted_std	Ga/Gi	0.0035055852359580086
Perim._std	Ga/Gi	0.002893486730325745
Area_inverted_std	Ga/Gi	0.0025421100737889057
RawIntDen_inverted_std	Ga/Gi	0.0025421100737886837
IntDen_inverted_std	Ga/Gi	0.0025421100737886837
Minor_inverted_std	Ga/Gi	0.0023906626524016206
Feret_std	Ga/Gi	0.0023696282361806986
Width_std	Ga/Gi	0.002245556909187263
Height_std	Ga/Gi	0.0021626423986946808
Width_inverted_std	Ga/Gi	0.002137139950309175
FeretAngle_mean	Ga/Gi	0.002120803685181638
Height_inverted_std	Ga/Gi	0.0021064264801312627
Solidity_inverted_std	Ga/Gi	0.002073242802175468
Feret_inverted_std	Ga/Gi	0.0020236804026650956
Perim._inverted_std	Ga/Gi	0.0019005586026731303
MinFeret_std	Ga/Gi	0.0018046632137759255
MinFeret_inverted_std	Ga/Gi	0.001802145540462985
Circ._std	Ga/Gi	0.0013853023506031903
Major_std	Ga/Gi	0.0013351086168617021
AR_inverted_std	Ga/Gi	0.0013319880611575297
Angle_mean	Ga/Gi	0.0012922046296748313
Minor_std	Ga/Gi	0.0009241514085023272
RawIntDen_std	Ga/Gi	0.0007875098718523876
Area_std	Ga/Gi	0.0007875098718523876
IntDen_std	Ga/Gi	0.0007875098718523876
Round_mean	Ga/Gi	0.000682453455070231
Y_mean	Ga/Gi	0.0006146787013052712
X_inverted_mean	Ga/Gi	0.0004548189125839208
AR_inverted_mean	Ga/Gi	0.0004504237462344962
FeretAngle_inverted_mean	Ga/Gi	0.0003419566185992595
AR_mean	Ga/Gi	0.00023629433105343267
Solidity_mean	Ga/Gi	0.00012496295189223794
X_mean	Ga/Gi	2.3747405236029806e-05
Solidity_std	Ga/Gi	1.53517193854924e-05
Y_inverted_mean	Ga/Gi	2.1176704886327613e-06
FeretY_inverted_mean	Ga/Gi	6.746979946958831e-07
AR_std	Ga/Gi	8.323642997076774e-09
