feat	param	r2
%Area_std	Gi/Ba	1.0
%Area_inverted_std	Gi/Ba	1.0
Solidity_mean	Gi/Ba	0.011520168704444611
%Area_inverted_mean	Gi/Ba	0.010873602078492972
Solidity_std	Gi/Ba	0.008318673169097068
RawIntDen_mean	Gi/Ba	0.008036497479457672
IntDen_mean	Gi/Ba	0.008036497479457672
Mean	Gi/Ba	0.007678772604996165
Mean_inverted	Gi/Ba	0.0076787721104332185
Major_mean	Gi/Ba	0.007507630287114875
Median	Gi/Ba	0.0074278430410488205
Median_inverted	Gi/Ba	0.0074278430410488205
Area_mean	Gi/Ba	0.007411412850944155
Minor_mean	Gi/Ba	0.007368113716745062
num_spots	Gi/Ba	0.007292936168313724
FeretY_mean	Gi/Ba	0.0072817950816955745
Width_mean	Gi/Ba	0.007032164069462277
Height_mean	Gi/Ba	0.007028553021297901
BX_mean	Gi/Ba	0.006993605141350501
Feret_mean	Gi/Ba	0.006990460636157381
MinFeret_mean	Gi/Ba	0.006975276589034629
FeretX_mean	Gi/Ba	0.006939815671797356
BY_mean	Gi/Ba	0.006922706687822355
BY_std	Gi/Ba	0.0067577968485869055
BX_std	Gi/Ba	0.006711309784463104
FeretX_std	Gi/Ba	0.006677999290497394
X_std	Gi/Ba	0.006674962449794264
Y_std	Gi/Ba	0.006660937646297382
Round_std	Gi/Ba	0.006590102197450931
FeretY_std	Gi/Ba	0.0065720206007073845
Angle_mean	Gi/Ba	0.00640981724892753
Angle_std	Gi/Ba	0.006211433736812433
Angle_inverted_mean	Gi/Ba	0.005902577877851978
Perim._mean	Gi/Ba	0.005725741508894044
IntDen_inverted_mean	Gi/Ba	0.005030336076376152
RawIntDen_inverted_mean	Gi/Ba	0.005030336076376152
num_spots_inverted	Gi/Ba	0.004739052022915913
FeretAngle_std	Gi/Ba	0.004557927062023404
Circ._std	Gi/Ba	0.004026244606316509
Round_mean	Gi/Ba	0.003887376586740321
Angle_inverted_std	Gi/Ba	0.0038601498720628458
Feret_inverted_mean	Gi/Ba	0.003758449648448847
Major_inverted_mean	Gi/Ba	0.0037527882378194377
Width_inverted_mean	Gi/Ba	0.003745773504160166
Height_inverted_mean	Gi/Ba	0.003740019360865765
FeretAngle_inverted_std	Gi/Ba	0.003732533335725763
Area_inverted_mean	Gi/Ba	0.0036872855268875737
MinFeret_inverted_mean	Gi/Ba	0.003650220274880711
Minor_inverted_mean	Gi/Ba	0.0036257862665661778
FeretX_inverted_mean	Gi/Ba	0.003604353334344945
BX_inverted_mean	Gi/Ba	0.003604114098021083
X_inverted_std	Gi/Ba	0.0035835622261107813
FeretY_inverted_std	Gi/Ba	0.0034071998307623197
Y_inverted_std	Gi/Ba	0.0034070368595044975
BX_inverted_std	Gi/Ba	0.0032918227681678625
FeretX_inverted_std	Gi/Ba	0.0032712117149101827
AR_std	Gi/Ba	0.003224667293895589
BY_inverted_mean	Gi/Ba	0.003193138888093361
BY_inverted_std	Gi/Ba	0.003091730714834151
Round_inverted_std	Gi/Ba	0.0030156190505160607
FeretAngle_mean	Gi/Ba	0.0029939199964926777
AR_mean	Gi/Ba	0.0027745320746357383
FeretY_inverted_mean	Gi/Ba	0.0019041046204103518
Circ._inverted_std	Gi/Ba	0.0016473306200364135
Major_inverted_std	Gi/Ba	0.0015670501101110457
Area_inverted_std	Gi/Ba	0.001528483440503492
IntDen_inverted_std	Gi/Ba	0.00152848344050327
RawIntDen_inverted_std	Gi/Ba	0.00152848344050327
Round_inverted_mean	Gi/Ba	0.001465373547272275
FeretAngle_inverted_mean	Gi/Ba	0.0014155431501855498
Minor_inverted_std	Gi/Ba	0.0013506692118381292
Perim._inverted_mean	Gi/Ba	0.0013310015038552336
Perim._inverted_std	Gi/Ba	0.0012012989969223398
Perim._std	Gi/Ba	0.001164673833362051
Height_inverted_std	Gi/Ba	0.0009268369079150629
Feret_inverted_std	Gi/Ba	0.0009186052588396887
Width_inverted_std	Gi/Ba	0.0008962363330471401
MinFeret_inverted_std	Gi/Ba	0.0008961108444889287
Height_std	Gi/Ba	0.0008908871259464268
Width_std	Gi/Ba	0.0008836075940301669
MinFeret_std	Gi/Ba	0.0008642285064480726
Feret_std	Gi/Ba	0.0008572820936957326
Solidity_inverted_std	Gi/Ba	0.0006602556080631539
Circ._mean	Gi/Ba	0.0006414914018570972
Minor_std	Gi/Ba	0.0005545054732630783
AR_inverted_std	Gi/Ba	0.0005164514654428798
Major_std	Gi/Ba	0.0004918123387832596
Circ._inverted_mean	Gi/Ba	0.0004201188544330492
Solidity_inverted_mean	Gi/Ba	0.0003576512245690999
IntDen_std	Gi/Ba	0.0003182556574505835
RawIntDen_std	Gi/Ba	0.0003182556574505835
Area_std	Gi/Ba	0.0003182556574502504
AR_inverted_mean	Gi/Ba	9.55358033923881e-05
X_mean	Gi/Ba	7.216998499293137e-05
Y_inverted_mean	Gi/Ba	1.2183760142669975e-05
Y_mean	Gi/Ba	4.332127131689845e-06
%Area_mean	Gi/Ba	3.887894652221391e-06
X_inverted_mean	Gi/Ba	9.482898193358125e-07
