feat	param	r2
%Area_std	Gi/Da	1.0
%Area_inverted_std	Gi/Da	1.0
RawIntDen_inverted_mean	Gi/Da	0.05214226498922636
IntDen_inverted_mean	Gi/Da	0.05214226498922636
Mean_inverted	Gi/Da	0.046233075796749845
Mean	Gi/Da	0.04623307429307466
IntDen_mean	Gi/Da	0.04503388333346692
RawIntDen_mean	Gi/Da	0.04503388333346692
Median_inverted	Gi/Da	0.041414883705264915
Median	Gi/Da	0.041414883705264915
%Area_inverted_mean	Gi/Da	0.035942074919359523
%Area_mean	Gi/Da	0.021234249776308167
Circ._mean	Gi/Da	0.019455478953110616
num_spots	Gi/Da	0.015216309910536463
Perim._mean	Gi/Da	0.008431571952625116
Angle_inverted_std	Gi/Da	0.00840887740850016
Width_inverted_mean	Gi/Da	0.008207700473634505
Height_inverted_mean	Gi/Da	0.008200767665495157
Feret_inverted_mean	Gi/Da	0.008199014728803689
MinFeret_inverted_mean	Gi/Da	0.008083030522826884
FeretAngle_inverted_std	Gi/Da	0.007994659563861917
Y_inverted_std	Gi/Da	0.007594502422405003
Perim._inverted_mean	Gi/Da	0.007577264731709943
X_inverted_std	Gi/Da	0.0071337428185398455
FeretY_inverted_std	Gi/Da	0.007079038547307626
FeretX_inverted_mean	Gi/Da	0.006969984228666459
BY_inverted_mean	Gi/Da	0.006959901625785414
BX_inverted_mean	Gi/Da	0.006884336791297518
Width_mean	Gi/Da	0.006725623766103306
Height_mean	Gi/Da	0.006711875140325896
Feret_mean	Gi/Da	0.006635314648206436
BY_inverted_std	Gi/Da	0.00656940714034282
MinFeret_mean	Gi/Da	0.006535698082193897
BX_mean	Gi/Da	0.0062124548327976425
BY_mean	Gi/Da	0.0061854488227349735
Round_inverted_std	Gi/Da	0.006147752512529081
FeretX_mean	Gi/Da	0.006084330591787812
Major_mean	Gi/Da	0.006024066330506561
FeretX_inverted_std	Gi/Da	0.005854205282197045
BX_inverted_std	Gi/Da	0.005824556156452054
Minor_mean	Gi/Da	0.005733904787234678
num_spots_inverted	Gi/Da	0.005569032481325564
X_std	Gi/Da	0.005350390396963389
Y_std	Gi/Da	0.0051116778155101406
Area_mean	Gi/Da	0.005085862308485067
Angle_std	Gi/Da	0.005017850774341026
Major_inverted_mean	Gi/Da	0.004948806360057234
Minor_inverted_mean	Gi/Da	0.004878326498601093
BX_std	Gi/Da	0.004787912362396174
FeretX_std	Gi/Da	0.0047453057207466065
FeretY_std	Gi/Da	0.004594482294107083
BY_std	Gi/Da	0.004377623289331667
Circ._inverted_mean	Gi/Da	0.004162132176594224
FeretY_mean	Gi/Da	0.0037393745749180196
Area_inverted_mean	Gi/Da	0.0032750856425060038
Circ._inverted_std	Gi/Da	0.002681059345713832
Solidity_inverted_mean	Gi/Da	0.0026392228559379838
Solidity_mean	Gi/Da	0.0025434762105365216
Round_std	Gi/Da	0.0025369968367109363
Round_inverted_mean	Gi/Da	0.0023912200577523857
Major_inverted_std	Gi/Da	0.002346370430226785
Perim._std	Gi/Da	0.002078892722975456
IntDen_inverted_std	Gi/Da	0.0018480819390936931
Area_inverted_std	Gi/Da	0.0018480819390936931
RawIntDen_inverted_std	Gi/Da	0.0018480819390936931
FeretAngle_std	Gi/Da	0.0018413589630278393
Angle_inverted_mean	Gi/Da	0.0016725894796399965
Minor_inverted_std	Gi/Da	0.0016398107314309351
Circ._std	Gi/Da	0.0014665050102797839
Perim._inverted_std	Gi/Da	0.001240624616486885
Width_inverted_std	Gi/Da	0.0012401464653080119
Width_std	Gi/Da	0.001233187668016722
Height_inverted_std	Gi/Da	0.0012312630887030274
Height_std	Gi/Da	0.0012014987751910455
Feret_std	Gi/Da	0.0012008526489499793
Feret_inverted_std	Gi/Da	0.0011896798304779077
MinFeret_inverted_std	Gi/Da	0.0010832442325190428
MinFeret_std	Gi/Da	0.0010771916971611395
Solidity_inverted_std	Gi/Da	0.0008026356284934755
AR_inverted_std	Gi/Da	0.0007658789591826753
Y_mean	Gi/Da	0.0005267130781408946
Major_std	Gi/Da	0.0004692921133441219
Minor_std	Gi/Da	0.0004510933958727925
X_inverted_mean	Gi/Da	0.0003804272896332783
IntDen_std	Gi/Da	0.00035931287557811054
RawIntDen_std	Gi/Da	0.00035931287557811054
Area_std	Gi/Da	0.0003593128755778885
Round_mean	Gi/Da	0.00034471348311393424
X_mean	Gi/Da	0.0002795660971226521
AR_mean	Gi/Da	0.00022685027671454083
Angle_mean	Gi/Da	0.0001764000796690146
FeretAngle_inverted_mean	Gi/Da	9.989552179723304e-05
AR_inverted_mean	Gi/Da	7.110760575834707e-05
AR_std	Gi/Da	5.906206811667758e-05
Solidity_std	Gi/Da	5.8803283180752786e-05
Y_inverted_mean	Gi/Da	3.663807708220723e-05
FeretY_inverted_mean	Gi/Da	6.1005242397715875e-06
FeretAngle_mean	Gi/Da	1.449828804345188e-06
