feat	param	r2
%Area_std	Gi	1.0
%Area_inverted_std	Gi	1.0
RawIntDen_inverted_mean	Gi	0.0585417404404075
IntDen_inverted_mean	Gi	0.0585417404404075
Mean_inverted	Gi	0.05178455764728007
Mean	Gi	0.05178455559266271
RawIntDen_mean	Gi	0.049655838084115445
IntDen_mean	Gi	0.049655838084115445
Median	Gi	0.04611486729073477
Median_inverted	Gi	0.04611486729073477
%Area_inverted_mean	Gi	0.03919767723238654
%Area_mean	Gi	0.026600364851075753
Circ._mean	Gi	0.019478334860896673
num_spots	Gi	0.011803823098922805
Width_inverted_mean	Gi	0.009996686496741902
Angle_inverted_std	Gi	0.009995693941694972
Height_inverted_mean	Gi	0.009980492910456662
Feret_inverted_mean	Gi	0.00997319627775295
MinFeret_inverted_mean	Gi	0.009821160562980435
FeretAngle_inverted_std	Gi	0.00948006319658079
Y_inverted_std	Gi	0.009178489377602017
X_inverted_std	Gi	0.008768766876892431
Perim._inverted_mean	Gi	0.008662564770446579
FeretX_inverted_mean	Gi	0.008547887191551085
FeretY_inverted_std	Gi	0.008534873571530266
BY_inverted_mean	Gi	0.008521894421597787
BX_inverted_mean	Gi	0.008470998597388757
BY_inverted_std	Gi	0.008073377401933146
Perim._mean	Gi	0.007589385480825217
num_spots_inverted	Gi	0.007512036208225048
Round_inverted_std	Gi	0.007496415120760491
FeretX_inverted_std	Gi	0.00738288352614791
BX_inverted_std	Gi	0.0073608412539125645
Major_inverted_mean	Gi	0.006310121831901605
Minor_inverted_mean	Gi	0.006186087967720577
Width_mean	Gi	0.005825710096512671
Height_mean	Gi	0.005811927223299929
Feret_mean	Gi	0.005750753528922403
MinFeret_mean	Gi	0.0056516714553561664
BX_mean	Gi	0.0053424979850916765
BY_mean	Gi	0.005341370675152168
FeretX_mean	Gi	0.005235930423730606
Major_mean	Gi	0.0051367306571432625
Minor_mean	Gi	0.00487531424666976
X_std	Gi	0.004575209964139737
Y_std	Gi	0.0043577135869953265
Angle_std	Gi	0.004345136944434391
Area_inverted_mean	Gi	0.004309786825492323
Area_mean	Gi	0.004279409889352492
BX_std	Gi	0.0040595575041878496
Circ._inverted_mean	Gi	0.004039522025341524
FeretX_std	Gi	0.004025919445438952
FeretY_std	Gi	0.003884887391767622
BY_std	Gi	0.0037098938151359784
Solidity_mean	Gi	0.0034228114428613843
Circ._inverted_std	Gi	0.003312496392076536
Round_inverted_mean	Gi	0.003011644414127934
FeretY_mean	Gi	0.0030059694673451043
Major_inverted_std	Gi	0.0027189224813857216
Perim._std	Gi	0.002588621364012722
Solidity_inverted_mean	Gi	0.00245142545052901
Area_inverted_std	Gi	0.0021341828638157256
RawIntDen_inverted_std	Gi	0.0021341828638153926
IntDen_inverted_std	Gi	0.0021341828638153926
Round_std	Gi	0.002012670336002942
Circ._std	Gi	0.0019932765181248646
Minor_inverted_std	Gi	0.0019291150854411354
FeretAngle_std	Gi	0.0015926235321361837
Width_std	Gi	0.0015836334907163296
Perim._inverted_std	Gi	0.0015736452880187324
Feret_std	Gi	0.0015651148041859742
Height_std	Gi	0.0015631553819152044
Width_inverted_std	Gi	0.0014755169207619767
Height_inverted_std	Gi	0.0014751402150400272
Feret_inverted_std	Gi	0.0014215829330520569
MinFeret_std	Gi	0.0014078773965393587
MinFeret_inverted_std	Gi	0.0012954215663044666
Angle_inverted_mean	Gi	0.001254435896059225
Solidity_inverted_std	Gi	0.0011002722598055792
AR_inverted_std	Gi	0.0010350235571399136
Major_std	Gi	0.00068415905918362
Minor_std	Gi	0.0006600816971419343
IntDen_std	Gi	0.0005377681776917997
RawIntDen_std	Gi	0.0005377681776917997
Area_std	Gi	0.0005377681776916887
Y_mean	Gi	0.0004901070480274328
X_inverted_mean	Gi	0.0004046741210125271
AR_mean	Gi	0.0003888553631448133
Angle_mean	Gi	0.00033817074250053203
X_mean	Gi	0.00031550406029912104
Solidity_std	Gi	0.0002791575096310339
Round_mean	Gi	0.00016547272307276817
AR_inverted_mean	Gi	0.00012229520668849414
AR_std	Gi	0.00011685414193896015
FeretAngle_inverted_mean	Gi	9.032379924578393e-05
Y_inverted_mean	Gi	3.251218721511684e-05
FeretY_inverted_mean	Gi	1.9908470132667944e-05
FeretAngle_mean	Gi	1.7644861048937699e-06
