feat	param	r2
%Area_inverted_std	Ua/Gi	1.0
%Area_std	Ua/Gi	1.0
Circ._mean	Ua/Gi	0.018083272274826867
num_spots_inverted	Ua/Gi	0.011183802100275253
Solidity_inverted_mean	Ua/Gi	0.010280330101761548
Perim._inverted_mean	Ua/Gi	0.010161286829207028
Circ._inverted_mean	Ua/Gi	0.010142552604067268
Angle_inverted_std	Ua/Gi	0.00925248094229325
Width_inverted_mean	Ua/Gi	0.009108039671408719
Feret_inverted_mean	Ua/Gi	0.009097449841997562
Height_inverted_mean	Ua/Gi	0.009095189119565306
MinFeret_inverted_mean	Ua/Gi	0.008877225518324483
FeretAngle_inverted_std	Ua/Gi	0.00868671529283671
IntDen_inverted_mean	Ua/Gi	0.008491881830317238
RawIntDen_inverted_mean	Ua/Gi	0.008491881830317238
Y_inverted_std	Ua/Gi	0.00833008830343085
X_inverted_std	Ua/Gi	0.008313363845300237
Perim._mean	Ua/Gi	0.00786982299948058
BY_inverted_mean	Ua/Gi	0.007854049962035203
FeretY_inverted_std	Ua/Gi	0.00778359305789178
RawIntDen_mean	Ua/Gi	0.007704681676250047
IntDen_mean	Ua/Gi	0.007704681676250047
FeretX_inverted_mean	Ua/Gi	0.007642232339911126
BX_inverted_mean	Ua/Gi	0.007594638206122717
BY_inverted_std	Ua/Gi	0.007259543383650091
FeretX_inverted_std	Ua/Gi	0.006752377065804227
BX_inverted_std	Ua/Gi	0.006727992062574462
Round_inverted_std	Ua/Gi	0.0064423077016605435
Feret_mean	Ua/Gi	0.005944774870806024
Width_mean	Ua/Gi	0.005925024027121584
Height_mean	Ua/Gi	0.0059216861108774
MinFeret_mean	Ua/Gi	0.00582864542485495
Solidity_mean	Ua/Gi	0.005729854449787575
Angle_std	Ua/Gi	0.005638753286969167
Median_inverted	Ua/Gi	0.005613464502393639
Median	Ua/Gi	0.005613464502393639
BY_mean	Ua/Gi	0.005463258676998928
FeretX_mean	Ua/Gi	0.005411938493226853
BX_mean	Ua/Gi	0.005399967839289976
Major_mean	Ua/Gi	0.005100751853965857
X_std	Ua/Gi	0.005033973297631555
Minor_mean	Ua/Gi	0.004979943207925941
Mean_inverted	Ua/Gi	0.004881319700169584
Mean	Ua/Gi	0.00488131951484938
Y_std	Ua/Gi	0.00475926207776356
Area_mean	Ua/Gi	0.004603861920896568
FeretY_std	Ua/Gi	0.004453573208372141
FeretX_std	Ua/Gi	0.004451216841344752
BX_std	Ua/Gi	0.00444728287402163
%Area_inverted_mean	Ua/Gi	0.004325671405325804
BY_std	Ua/Gi	0.004207836435253021
Major_inverted_mean	Ua/Gi	0.003826925048314833
num_spots	Ua/Gi	0.003787768292549454
Minor_inverted_mean	Ua/Gi	0.0037041228191629916
FeretY_mean	Ua/Gi	0.003624048641073907
FeretAngle_std	Ua/Gi	0.003473483735304539
Circ._inverted_std	Ua/Gi	0.0028280800225647384
Major_inverted_std	Ua/Gi	0.0025302252786775226
Round_std	Ua/Gi	0.0025247150688979536
Perim._std	Ua/Gi	0.00237345739887751
Area_inverted_std	Ua/Gi	0.0022125509193845483
RawIntDen_inverted_std	Ua/Gi	0.0022125509193843262
IntDen_inverted_std	Ua/Gi	0.0022125509193843262
Minor_inverted_std	Ua/Gi	0.0018387432177567886
Area_inverted_mean	Ua/Gi	0.0017360305852274216
Solidity_std	Ua/Gi	0.0017009018160002443
Round_inverted_mean	Ua/Gi	0.0015168284988967828
Angle_inverted_mean	Ua/Gi	0.00140558382523015
Feret_std	Ua/Gi	0.0012985225857119476
Perim._inverted_std	Ua/Gi	0.0011845303505580995
Width_std	Ua/Gi	0.0011673919144477019
Height_std	Ua/Gi	0.0011359097657872574
Width_inverted_std	Ua/Gi	0.0011053573422327156
Height_inverted_std	Ua/Gi	0.0011041653205676738
MinFeret_std	Ua/Gi	0.0010649689750199531
Feret_inverted_std	Ua/Gi	0.0010575096329424882
MinFeret_inverted_std	Ua/Gi	0.0009884423070121162
Circ._std	Ua/Gi	0.0008324023641828049
FeretAngle_mean	Ua/Gi	0.0006327913081572989
Y_mean	Ua/Gi	0.0004497777634829836
X_inverted_mean	Ua/Gi	0.00044723567774651585
AR_mean	Ua/Gi	0.00044041216316403897
X_mean	Ua/Gi	0.0003824895115797089
%Area_mean	Ua/Gi	0.0003777878658346445
Solidity_inverted_std	Ua/Gi	0.000363497289736725
Minor_std	Ua/Gi	0.0003186370658510018
Major_std	Ua/Gi	0.00028809686112873933
RawIntDen_std	Ua/Gi	0.00024889072391443
IntDen_std	Ua/Gi	0.00024889072391443
Area_std	Ua/Gi	0.00024889072391409695
FeretY_inverted_mean	Ua/Gi	0.00021194803182911226
Round_mean	Ua/Gi	0.00018505623139331018
AR_inverted_std	Ua/Gi	0.00014665978231631627
AR_std	Ua/Gi	0.00011910049761487684
Angle_mean	Ua/Gi	7.822729433215603e-05
AR_inverted_mean	Ua/Gi	4.2616041572962615e-05
Y_inverted_mean	Ua/Gi	1.6104376988512747e-05
FeretAngle_inverted_mean	Ua/Gi	5.56129595818966e-06
