feat	param	r2
%Area_std	Ua/Ui	1.0
%Area_inverted_std	Ua/Ui	1.0
Mean	Ua/Ui	0.15381809174469807
Mean_inverted	Ua/Ui	0.153818091714085
RawIntDen_inverted_mean	Ua/Ui	0.14730309739394132
IntDen_inverted_mean	Ua/Ui	0.14730309739394132
%Area_mean	Ua/Ui	0.14470773731198827
Median_inverted	Ua/Ui	0.12233511353491267
Median	Ua/Ui	0.12233511353491267
IntDen_mean	Ua/Ui	0.108047342475323
RawIntDen_mean	Ua/Ui	0.108047342475323
%Area_inverted_mean	Ua/Ui	0.09940049974105669
Solidity_inverted_mean	Ua/Ui	0.014697423474037907
Area_inverted_mean	Ua/Ui	0.010407513378313693
Major_inverted_mean	Ua/Ui	0.008448366656944706
Minor_inverted_mean	Ua/Ui	0.008142291286525882
Circ._inverted_mean	Ua/Ui	0.007111328724849986
num_spots	Ua/Ui	0.005364738806388658
Solidity_inverted_std	Ua/Ui	0.004373077082036381
Round_inverted_mean	Ua/Ui	0.004223085217709754
Feret_inverted_mean	Ua/Ui	0.0041982005847277515
Width_inverted_mean	Ua/Ui	0.004158308385592169
Height_inverted_mean	Ua/Ui	0.004136208635983962
MinFeret_inverted_mean	Ua/Ui	0.004121948091397876
FeretX_inverted_mean	Ua/Ui	0.00404093750330059
Round_inverted_std	Ua/Ui	0.004006619746891205
BX_inverted_mean	Ua/Ui	0.00398329581469592
BY_inverted_mean	Ua/Ui	0.0038605438625870514
X_inverted_std	Ua/Ui	0.0038219320408987567
Y_inverted_std	Ua/Ui	0.0038087095488325007
BX_inverted_std	Ua/Ui	0.0036965579515484404
FeretX_inverted_std	Ua/Ui	0.003676790429680943
BY_inverted_std	Ua/Ui	0.0036367992148444994
FeretY_inverted_std	Ua/Ui	0.0035970578237695117
Angle_inverted_std	Ua/Ui	0.0035287009936321168
Angle_mean	Ua/Ui	0.0034815836784617415
FeretAngle_inverted_std	Ua/Ui	0.003354549319118272
AR_inverted_std	Ua/Ui	0.0032879431231467304
Circ._inverted_std	Ua/Ui	0.0031974182672644957
FeretAngle_mean	Ua/Ui	0.0029771927009277777
Major_std	Ua/Ui	0.002948034492559315
Minor_std	Ua/Ui	0.002720013772305241
RawIntDen_std	Ua/Ui	0.002510061936191965
IntDen_std	Ua/Ui	0.002510061936191965
Area_std	Ua/Ui	0.002510061936191632
MinFeret_std	Ua/Ui	0.002376870125374353
Height_std	Ua/Ui	0.0022935179500854774
Width_std	Ua/Ui	0.002202973727945201
AR_inverted_mean	Ua/Ui	0.00216235709836754
Feret_std	Ua/Ui	0.0021324785218906905
Angle_inverted_mean	Ua/Ui	0.0019779676999450713
FeretAngle_std	Ua/Ui	0.0019371005816810616
Perim._std	Ua/Ui	0.0017736025300848501
Width_inverted_std	Ua/Ui	0.0016082427802707189
Height_inverted_std	Ua/Ui	0.0015829025148598186
Circ._std	Ua/Ui	0.001570051305734621
FeretY_mean	Ua/Ui	0.0015230785695889981
Feret_inverted_std	Ua/Ui	0.0015079399414286154
FeretX_std	Ua/Ui	0.0014848109483496241
BX_std	Ua/Ui	0.0014693329752872852
FeretY_inverted_mean	Ua/Ui	0.001464363672344704
FeretY_std	Ua/Ui	0.0014612824600254148
BY_std	Ua/Ui	0.0014316095040654009
Perim._inverted_std	Ua/Ui	0.0014161347014816084
Y_std	Ua/Ui	0.00136524035232799
X_std	Ua/Ui	0.0013419710261644013
MinFeret_inverted_std	Ua/Ui	0.0013387895719912946
Angle_std	Ua/Ui	0.0013064793221145843
Area_mean	Ua/Ui	0.0012126805294025989
Minor_mean	Ua/Ui	0.0010874086993341026
Feret_mean	Ua/Ui	0.001050050099090094
Major_mean	Ua/Ui	0.0010390167582802201
MinFeret_mean	Ua/Ui	0.001028779892795928
FeretX_mean	Ua/Ui	0.0010274036422687205
Width_mean	Ua/Ui	0.0010184167184628112
Height_mean	Ua/Ui	0.0010155136223601868
Major_inverted_std	Ua/Ui	0.0010089137600128861
BX_mean	Ua/Ui	0.0009870085286801666
Round_mean	Ua/Ui	0.0009664320862209363
BY_mean	Ua/Ui	0.0009541687333645132
num_spots_inverted	Ua/Ui	0.0009499484142991843
Round_std	Ua/Ui	0.0009302033295152112
FeretAngle_inverted_mean	Ua/Ui	0.0008369092530314814
Perim._mean	Ua/Ui	0.0007864164195683365
Minor_inverted_std	Ua/Ui	0.0007654603569794416
Solidity_mean	Ua/Ui	0.0007642711861762796
AR_std	Ua/Ui	0.0004837375375003061
Perim._inverted_mean	Ua/Ui	0.0004353234916829596
Area_inverted_std	Ua/Ui	0.000307544225973011
RawIntDen_inverted_std	Ua/Ui	0.00030754422597278896
IntDen_inverted_std	Ua/Ui	0.00030754422597278896
Solidity_std	Ua/Ui	9.984819590069804e-05
Y_mean	Ua/Ui	3.90435486944396e-05
Y_inverted_mean	Ua/Ui	3.680208586342992e-05
Circ._mean	Ua/Ui	1.3318954721786014e-05
X_inverted_mean	Ua/Ui	4.035519902134688e-06
X_mean	Ua/Ui	5.106078351246879e-07
AR_mean	Ua/Ui	5.166358230113133e-09
