feat	param	r2
%Area_inverted_std	Ua	1.0
%Area_std	Ua	1.0
Mean_inverted	Ua	0.09498078030345147
Mean	Ua	0.09498077869388599
%Area_inverted_mean	Ua	0.08265162491087852
Median	Ua	0.08057300085307872
Median_inverted	Ua	0.08057300085307872
IntDen_inverted_mean	Ua	0.0763030954794599
RawIntDen_inverted_mean	Ua	0.0763030954794599
IntDen_mean	Ua	0.07384849373445945
RawIntDen_mean	Ua	0.07384849373445945
%Area_mean	Ua	0.034759766122163915
Solidity_mean	Ua	0.027679463833333973
num_spots	Ua	0.026685643102544843
Solidity_std	Ua	0.023684825181707225
num_spots_inverted	Ua	0.013513934184845922
Major_mean	Ua	0.009274253366911678
Minor_mean	Ua	0.008899976640923568
BX_mean	Ua	0.008598998934971402
Width_mean	Ua	0.008436378369514497
Height_mean	Ua	0.008411790495761573
Area_mean	Ua	0.008368120587212702
BY_mean	Ua	0.0083122273926034
FeretX_mean	Ua	0.008288348025437431
MinFeret_mean	Ua	0.008273795302250475
Feret_mean	Ua	0.008193097563613305
FeretY_mean	Ua	0.007699952220717066
Solidity_inverted_mean	Ua	0.007593907557599366
BX_std	Ua	0.007456327884716063
Round_mean	Ua	0.007445664631586801
Y_std	Ua	0.007390123437635898
X_std	Ua	0.007381916135732913
FeretX_std	Ua	0.00735365159132928
BY_std	Ua	0.007257036651164617
FeretY_std	Ua	0.00700564865360187
AR_mean	Ua	0.00690896497851845
Perim._mean	Ua	0.00650990004433627
AR_std	Ua	0.006468046402432037
Angle_inverted_mean	Ua	0.006210383979082801
Round_std	Ua	0.006044851894875469
Feret_inverted_mean	Ua	0.005513564663163328
Width_inverted_mean	Ua	0.005505867573125767
Height_inverted_mean	Ua	0.005484752300655704
Angle_std	Ua	0.005413873581698092
FeretX_inverted_mean	Ua	0.005396655551305085
BX_inverted_mean	Ua	0.005386065377995464
MinFeret_inverted_mean	Ua	0.005218891765844225
Angle_inverted_std	Ua	0.005119299612048267
X_inverted_std	Ua	0.00507423384190675
BX_inverted_std	Ua	0.005051736073416246
FeretX_inverted_std	Ua	0.0050477260980790195
BY_inverted_mean	Ua	0.004724276420363216
Y_inverted_std	Ua	0.0044627485068634565
FeretY_inverted_mean	Ua	0.00442197620585183
FeretY_inverted_std	Ua	0.004401310882495624
BY_inverted_std	Ua	0.0042768504247793215
Angle_mean	Ua	0.004119145626347742
Perim._inverted_mean	Ua	0.003917161314773265
FeretAngle_inverted_std	Ua	0.003804055341813828
Round_inverted_std	Ua	0.0036213618906927314
FeretAngle_std	Ua	0.003091354528423018
Circ._inverted_mean	Ua	0.003000646386213557
RawIntDen_inverted_std	Ua	0.0029781495706481254
Area_inverted_std	Ua	0.0029781495706481254
IntDen_inverted_std	Ua	0.0029781495706481254
FeretAngle_inverted_mean	Ua	0.002901295449530661
Circ._std	Ua	0.0027443975614285243
Major_inverted_std	Ua	0.002537170647723297
Minor_inverted_std	Ua	0.0022895828813983554
Circ._inverted_std	Ua	0.0022079986715367594
Major_inverted_mean	Ua	0.002201185875539635
Minor_inverted_mean	Ua	0.001975127571369528
Perim._inverted_std	Ua	0.0014673343797617644
FeretAngle_mean	Ua	0.0014552241081488004
Perim._std	Ua	0.0012133299848330337
Width_inverted_std	Ua	0.001094027028360478
MinFeret_inverted_std	Ua	0.0010935909757379125
Feret_inverted_std	Ua	0.0010820857280298135
Height_inverted_std	Ua	0.0010277527132617204
Area_inverted_mean	Ua	0.0009821119584334514
Circ._mean	Ua	0.0009500658302145082
AR_inverted_mean	Ua	0.0007257032202089286
Feret_std	Ua	0.0004226227266393989
Width_std	Ua	0.00034079258966890347
Height_std	Ua	0.0003290877078291343
X_mean	Ua	0.0003214726957471159
MinFeret_std	Ua	0.0002721689095671609
Round_inverted_mean	Ua	0.00020612981130074814
AR_inverted_std	Ua	0.0001485489054691147
Solidity_inverted_std	Ua	7.251471996816417e-05
Y_inverted_mean	Ua	1.380855783483792e-05
RawIntDen_std	Ua	9.465422569521209e-06
IntDen_std	Ua	9.465422569521209e-06
Area_std	Ua	9.465422569188142e-06
Minor_std	Ua	4.081402335764928e-06
Major_std	Ua	4.04566794565131e-06
X_inverted_mean	Ua	1.3274245181937872e-06
Y_mean	Ua	5.833494899354363e-07
