feat	param	r2
%Area_inverted_std	Ui/Di	1.0
%Area_std	Ui/Di	1.0
%Area_inverted_mean	Ui/Di	0.06650620389671624
IntDen_mean	Ui/Di	0.06488942216074822
RawIntDen_mean	Ui/Di	0.06488942216074822
Mean	Ui/Di	0.06399447808502745
Mean_inverted	Ui/Di	0.06399447598309649
Median	Ui/Di	0.05914648369608033
Median_inverted	Ui/Di	0.05914648369608022
RawIntDen_inverted_mean	Ui/Di	0.05816371075631743
IntDen_inverted_mean	Ui/Di	0.05816371075631743
Angle_std	Ui/Di	0.02849812785885919
Area_mean	Ui/Di	0.027872489176905102
Minor_mean	Ui/Di	0.027224135197253863
FeretX_mean	Ui/Di	0.027217932765899566
BX_mean	Ui/Di	0.027070488752714006
Major_mean	Ui/Di	0.027036579416902407
X_std	Ui/Di	0.02691822823112877
MinFeret_mean	Ui/Di	0.02684950337957237
Feret_mean	Ui/Di	0.026845239982261626
Height_mean	Ui/Di	0.02676813289954627
Width_mean	Ui/Di	0.026721192872352084
FeretAngle_std	Ui/Di	0.02671367582289641
Y_std	Ui/Di	0.026673506218514387
BY_mean	Ui/Di	0.02647677794692216
FeretY_std	Ui/Di	0.026369079599139367
Round_std	Ui/Di	0.026364247529491402
BY_std	Ui/Di	0.02631343315529533
FeretX_std	Ui/Di	0.026230261407715783
BX_std	Ui/Di	0.026182017648877398
Perim._mean	Ui/Di	0.02575299789546548
FeretY_mean	Ui/Di	0.024695587530593976
Angle_mean	Ui/Di	0.02323337802214387
FeretAngle_mean	Ui/Di	0.018030228960709938
Round_mean	Ui/Di	0.016343548942684194
Angle_inverted_mean	Ui/Di	0.016122509000618512
AR_std	Ui/Di	0.01506951941386725
Solidity_mean	Ui/Di	0.011180653475641678
AR_mean	Ui/Di	0.011099911290924247
Circ._mean	Ui/Di	0.00884296839579557
Circ._inverted_mean	Ui/Di	0.008282473274663471
%Area_mean	Ui/Di	0.007798180703046165
Circ._std	Ui/Di	0.007706911664684513
Solidity_std	Ui/Di	0.007188016219323523
Solidity_inverted_mean	Ui/Di	0.005234984511974683
FeretAngle_inverted_mean	Ui/Di	0.002117186272660332
FeretY_inverted_mean	Ui/Di	0.001976173266011738
Area_inverted_mean	Ui/Di	0.0015418224622837373
Width_std	Ui/Di	0.0008802692397891221
Major_std	Ui/Di	0.0008202374570435156
Height_std	Ui/Di	0.0008198401281949153
X_mean	Ui/Di	0.0008143588370852495
Perim._inverted_mean	Ui/Di	0.0007261772946786094
Minor_inverted_mean	Ui/Di	0.0006641456374245625
Major_inverted_mean	Ui/Di	0.0005631046434496634
Feret_std	Ui/Di	0.000553775481536567
MinFeret_std	Ui/Di	0.0005111984700795213
num_spots_inverted	Ui/Di	0.0004309665887629599
Minor_std	Ui/Di	0.0004107963711017515
Round_inverted_mean	Ui/Di	0.00032960308267215854
Major_inverted_std	Ui/Di	0.00030525651171675605
X_inverted_mean	Ui/Di	0.0003050256960777098
Width_inverted_std	Ui/Di	0.0002567388133711823
Height_inverted_std	Ui/Di	0.00024046667267219046
Feret_inverted_std	Ui/Di	0.00023172073568611395
Area_inverted_std	Ui/Di	0.0002175932225512156
RawIntDen_inverted_std	Ui/Di	0.00021759322255099356
IntDen_inverted_std	Ui/Di	0.00021759322255099356
MinFeret_inverted_std	Ui/Di	0.00020916885822575004
num_spots	Ui/Di	0.0002071333117475982
Minor_inverted_std	Ui/Di	0.00019377786146967946
FeretAngle_inverted_std	Ui/Di	0.00013716513319117496
Perim._std	Ui/Di	0.00011335279859747693
AR_inverted_mean	Ui/Di	0.00010259171664084299
BY_inverted_std	Ui/Di	8.391645288075011e-05
Round_inverted_std	Ui/Di	8.194982154352548e-05
Y_inverted_std	Ui/Di	8.044229342574205e-05
Solidity_inverted_std	Ui/Di	7.961085492746989e-05
Circ._inverted_std	Ui/Di	7.550269347433858e-05
Angle_inverted_std	Ui/Di	7.111684705585208e-05
FeretY_inverted_std	Ui/Di	6.452137377466194e-05
Perim._inverted_std	Ui/Di	6.226814778220735e-05
X_inverted_std	Ui/Di	5.181730289360864e-05
BY_inverted_mean	Ui/Di	4.815752982612054e-05
Y_inverted_mean	Ui/Di	4.0543113092761374e-05
MinFeret_inverted_mean	Ui/Di	3.701153760382603e-05
AR_inverted_std	Ui/Di	3.656847274147168e-05
Feret_inverted_mean	Ui/Di	3.3838223529758515e-05
Height_inverted_mean	Ui/Di	2.9271784465323414e-05
Width_inverted_mean	Ui/Di	2.637987656628482e-05
FeretX_inverted_std	Ui/Di	1.5507416415538877e-05
BX_inverted_std	Ui/Di	1.3806490971157714e-05
RawIntDen_std	Ui/Di	1.1797356798348702e-05
IntDen_std	Ui/Di	1.1797356798348702e-05
Area_std	Ui/Di	1.1797356798126657e-05
FeretX_inverted_mean	Ui/Di	5.636994796498485e-07
Y_mean	Ui/Di	5.39814515976289e-07
BX_inverted_mean	Ui/Di	3.106907614514043e-07
