feat	param	r2
%Area_inverted_std	Da/Di	1.0
%Area_inverted_std	Da/Ba	1.0
%Area_inverted_std	Di	1.0
%Area_std	Gi/Di	1.0
%Area_inverted_std	Gi/Di	1.0
%Area_std	Gi/Ba	1.0
%Area_std	Di	1.0
%Area_inverted_std	Gi/Ba	1.0
%Area_std	Da/Di	1.0
%Area_inverted_std	Da	1.0
%Area_std	Da/Ba	1.0
%Area_std	Da	1.0
%Area_std	Ui/Di	1.0
%Area_std	Di/Ba	1.0
%Area_inverted_std	Di/Ba	1.0
%Area_inverted_std	Gi	1.0
%Area_std	Ui/Gi	1.0
%Area_inverted_std	Ui/Gi	1.0
%Area_std	Gi	1.0
%Area_std	Ui/Da	1.0
%Area_inverted_std	Ga	1.0
%Area_std	Ga	1.0
%Area_inverted_std	Gi/Da	1.0
%Area_std	Gi/Da	1.0
%Area_std	Ba	1.0
%Area_inverted_std	Ga/Ba	1.0
%Area_std	Ua/Da	1.0
%Area_std	Ua/Gi	1.0
%Area_inverted_std	Ua/Da	1.0
%Area_std	Ua/Di	1.0
%Area_inverted_std	Ua/Di	1.0
%Area_inverted_std	Ua/Ga	1.0
%Area_std	Ua/Ba	1.0
%Area_inverted_std	Ua/Ba	1.0
%Area_std	Ua/Ga	1.0
%Area_std	Ga/Gi	1.0
%Area_inverted_std	Ga/Gi	1.0
%Area_inverted_std	Ua/Ui	1.0
%Area_std	Ga/Da	1.0
%Area_inverted_std	Ga/Da	1.0
%Area_std	Ua/Ui	1.0
%Area_std	Ga/Di	1.0
%Area_inverted_std	Ga/Di	1.0
%Area_inverted_std	Ba	1.0
%Area_std	Ga/Ba	1.0
%Area_inverted_std	Ui/Da	1.0
%Area_inverted_std	Ua/Gi	1.0
%Area_inverted_std	Ua	1.0
%Area_std	Ui	1.0
%Area_inverted_std	Ui/Di	1.0
%Area_inverted_std	Ui/Ba	1.0
%Area_inverted_std	Ui	1.0
%Area_std	Ua	1.0
%Area_std	Ui/Ba	1.0
%Area_mean	Ua/Ga	0.37180865297595933
RawIntDen_inverted_mean	Ga/Ba	0.30233686467729015
%Area_mean	Ga	0.29606702301775234
RawIntDen_inverted_mean	Ga	0.2921663003219729
%Area_mean	Ga/Da	0.28125350158171825
%Area_inverted_mean	Ga/Ba	0.273870437506912
RawIntDen_inverted_mean	Ga/Da	0.2723330436850735
RawIntDen_inverted_mean	Ua/Ga	0.27136383026551214
%Area_inverted_mean	Ui/Ba	0.2550738532834539
RawIntDen_inverted_mean	Ga/Gi	0.2472259511754602
RawIntDen_inverted_mean	Ui/Ba	0.23573925615685443
%Area_inverted_mean	Ga/Gi	0.1982396812727969
RawIntDen_inverted_mean	Ui/Gi	0.19351487652395882
%Area_inverted_mean	Ga	0.19065700600932234
RawIntDen_inverted_mean	Ui	0.18579767265846026
%Area_inverted_mean	Ui/Gi	0.1795222901363409
RawIntDen_inverted_mean	Ui/Da	0.17687939964447108
%Area_inverted_mean	Ga/Da	0.17532665341723352
%Area_inverted_mean	Ua/Ga	0.1753001004520437
%Area_inverted_mean	Ui	0.1683744480812408
%Area_mean	Ga/Ba	0.16617321732061463
%Area_inverted_mean	Ui/Da	0.15719907173598902
RawIntDen_inverted_mean	Ua/Ui	0.14730309739394132
%Area_mean	Ua/Ui	0.14470773731198838
%Area_mean	Ga/Gi	0.13412256700516767
%Area_inverted_mean	Ua/Ui	0.09940049974105669
%Area_inverted_mean	Da/Ba	0.09551365813214474
%Area_inverted_mean	Ba	0.09275571188480614
RawIntDen_inverted_mean	Ba	0.08324925019160945
%Area_inverted_mean	Ua	0.08265162491087852
RawIntDen_inverted_mean	Da/Ba	0.08043437604208925
RawIntDen_inverted_mean	Ga/Di	0.07692070229112957
%Area_inverted_mean	Ua/Da	0.07657500063485134
RawIntDen_inverted_mean	Ua	0.07630309547946013
RawIntDen_inverted_mean	Ua/Da	0.0681365337073736
%Area_inverted_mean	Ui/Di	0.06650620389671646
%Area_mean	Ga/Di	0.06524628018054845
RawIntDen_inverted_mean	Di/Ba	0.06486145223238904
%Area_inverted_mean	Ga/Di	0.06188123796203848
%Area_inverted_mean	Di/Ba	0.06122609854553762
Round_std	Ui/Ba	0.06035523957431499
RawIntDen_inverted_mean	Gi	0.05854174044040772
RawIntDen_inverted_mean	Ui/Di	0.05816371075631743
%Area_mean	Ui/Ba	0.05649697901585615
%Area_mean	Ui/Da	0.054598855380004196
%Area_mean	Ui	0.054542975802371996
RawIntDen_inverted_mean	Gi/Da	0.05214226498922658
%Area_mean	Ui/Gi	0.051077859292208316
num_spots	Da/Ba	0.04430780602000817
Angle_inverted_mean	Ui/Ba	0.04269785700817974
Circ._mean	Ui/Gi	0.04064870777920826
Angle_mean	Ui/Ba	0.03988273612893278
%Area_inverted_mean	Gi	0.03919767723238665
num_spots	Ba	0.038844643760280406
RawIntDen_inverted_mean	Gi/Di	0.037399660906905496
RawIntDen_inverted_mean	Ua/Di	0.03669946305689231
Round_std	Ui/Gi	0.035978820852665905
%Area_inverted_mean	Gi/Da	0.0359420749193593
Circ._mean	Ui/Ba	0.034895262601437826
%Area_mean	Ua	0.034759766122163915
Solidity_inverted_mean	Ua/Ga	0.034240824793755786
%Area_mean	Ua/Di	0.03403755681745846
num_spots	Di/Ba	0.033741642626351265
%Area_mean	Gi/Di	0.033551357397010095
Circ._mean	Ga/Gi	0.032180287422633125
num_spots	Ui/Ba	0.03185973210447901
num_spots	Ua/Da	0.03175425842572466
Round_std	Ui	0.030708912342064743
Solidity_mean	Ui/Ba	0.029108854434251152
FeretAngle_mean	Ui/Ba	0.02882741808447875
Solidity_mean	Ua/Da	0.028132471508913626
%Area_mean	Ua/Da	0.027781063845705556
Solidity_mean	Ua	0.027679463833333973
AR_std	Ui/Ba	0.02757922513349298
%Area_inverted_mean	Ua/Di	0.02746764953353409
Round_std	Ui/Da	0.027093649375985462
num_spots	Ua	0.026685643102544843
%Area_mean	Gi	0.026600364851075753
Round_std	Da/Ba	0.026569033518127005
Round_std	Ui/Di	0.02636424752949107
Angle_mean	Ua/Ga	0.02594489176264414
Solidity_std	Ui/Ba	0.02553652813197005
Solidity_std	Ua/Da	0.024294715797168243
Solidity_std	Ua	0.023684825181707225
Angle_inverted_mean	Ui/Gi	0.023362055624393974
Angle_mean	Ui/Di	0.02323337802214387
Circ._mean	Ga/Ba	0.023047378363138527
Round_std	Ua/Ga	0.022985791083278806
Angle_inverted_mean	Da/Ba	0.021955090188791937
num_spots	Ui/Gi	0.02190772027333332
%Area_mean	Ba	0.021747537025247787
%Area_mean	Gi/Da	0.021234249776308278
Circ._mean	Da/Ba	0.02096985681178898
%Area_mean	Di/Ba	0.020967915296873474
FeretAngle_mean	Ua/Ga	0.020853289174452172
Circ._mean	Ui	0.020082363270462755
Round_std	Ba	0.01979964695817371
Circ._mean	Gi	0.019478334860896784
Circ._mean	Gi/Da	0.019455478953110728
Circ._mean	Ui/Da	0.01819486535805126
Circ._mean	Ua/Gi	0.018083272274826867
%Area_inverted_mean	Gi/Di	0.0180764662881594
FeretAngle_mean	Ui/Di	0.018030228960709827
Angle_mean	Ui/Gi	0.017959832069517012
AR_std	Ui	0.017796140706123453
Angle_mean	Ui	0.017611310076738662
Angle_inverted_mean	Ui	0.01724053846953877
num_spots	Ga/Ba	0.017044849522687144
Angle_inverted_mean	Ba	0.01684684637258005
Circ._mean	Ba	0.016540280593071666
num_spots	Ua/Di	0.016205190189929497
Angle_inverted_mean	Ui/Di	0.016122509000618512
Angle_inverted_mean	Ua/Ga	0.016023253757997624
AR_std	Ui/Da	0.01601439044122477
num_spots_inverted	Ua/Da	0.01587174062463048
Solidity_std	Da/Ba	0.015849811940155445
Angle_mean	Ui/Da	0.015360625733280231
FeretAngle_mean	Ui/Gi	0.015219322123921963
num_spots	Gi/Da	0.015216309910536685
AR_std	Ui/Di	0.015069519413867027
Angle_inverted_mean	Ui/Da	0.014854216744015325
AR_std	Ua/Ga	0.014721641384798478
Angle_mean	Da/Ba	0.014718412647617307
Solidity_inverted_mean	Ua/Ui	0.014697423474037796
%Area_mean	Da/Ba	0.014447162596724294
AR_std	Ga	0.014187933277870046
Solidity_mean	Da/Ba	0.013956394932525207
AR_std	Ui/Gi	0.013837337854967435
Solidity_std	Ga/Da	0.013556151146207118
num_spots_inverted	Ua	0.013513934184846144
Circ._mean	Di/Ba	0.013453558019785428
Solidity_std	Ga	0.013378935652068824
AR_std	Ga/Da	0.013246138129037077
num_spots	Ga/Gi	0.01318363397089184
num_spots_inverted	Ga/Da	0.012379020898505844
FeretAngle_mean	Ui	0.012343002367785072
%Area_mean	Da/Di	0.012094353864405716
Round_std	Ga/Ba	0.012074471845593182
num_spots	Gi	0.011803823098922916
Angle_mean	Da/Di	0.011774145247472556
Solidity_inverted_mean	Ui/Ba	0.011535184558128742
Solidity_mean	Gi/Ba	0.011520168704444611
num_spots	Ga/Di	0.01140396548591005
num_spots	Gi/Di	0.011403007269365273
Solidity_inverted_mean	Ua/Di	0.011383239421520308
Angle_inverted_mean	Ga/Ba	0.011364406643365799
num_spots_inverted	Ua/Gi	0.011183802100275031
Solidity_mean	Ui/Di	0.011180653475641789
FeretAngle_mean	Ui/Da	0.010986140890504315
%Area_inverted_mean	Gi/Ba	0.010873602078492972
Solidity_mean	Ui	0.010739175509445364
Solidity_inverted_mean	Ua/Ba	0.01073044137916146
Solidity_inverted_std	Ga	0.010618599531230233
num_spots_inverted	Ga	0.010526307687940495
num_spots	Ua/Ga	0.010497639899529343
Solidity_inverted_std	Ga/Da	0.010307687936845111
Solidity_inverted_mean	Ua/Gi	0.010280330101761326
num_spots	Ga/Da	0.010160940832838361
FeretAngle_mean	Da/Di	0.010144059023756702
Solidity_std	Ba	0.0100817876746353
Solidity_std	Ui	0.009992245976111702
FeretAngle_mean	Da/Ba	0.00988154353276649
Solidity_std	Ui/Gi	0.009192403196016885
Solidity_mean	Ba	0.009137802020675156
Angle_mean	Di	0.00912956323288383
Solidity_mean	Ua/Ga	0.00902239534119642
FeretAngle_mean	Di	0.008907681871119566
Solidity_mean	Ui/Da	0.008895422312894308
Circ._mean	Ui/Di	0.008842968395795792
Angle_mean	Gi/Di	0.00876221558824486
Solidity_inverted_mean	Ui/Gi	0.008556530180702682
RawIntDen_inverted_mean	Ua/Gi	0.008491881830317016
Circ._mean	Ua/Ba	0.00840022140735941
FeretAngle_inverted_mean	Ui/Ba	0.008355183644172648
Angle_mean	Ba	0.008343593042304032
Solidity_std	Gi/Ba	0.008318673169097068
Solidity_std	Ui/Da	0.008191045982574918
%Area_mean	Di	0.008038950890207675
Solidity_mean	Ga/Da	0.007938467750834066
Solidity_inverted_std	Ua/Ga	0.00785748365760286
%Area_mean	Ui/Di	0.007798180703045943
Solidity_std	Ua/Ga	0.00778403499908642
Solidity_mean	Ga	0.007783457076333544
Angle_mean	Ga	0.00768515553776572
MinFeret_inverted_std	Ga	0.007667439380484753
Angle_mean	Ga/Da	0.007605104314122424
Solidity_inverted_mean	Ua	0.007593907557599366
num_spots	Ga	0.007578928711477251
num_spots_inverted	Gi	0.007512036208225048
Solidity_std	Di/Ba	0.007360647187448666
MinFeret_inverted_std	Ga/Da	0.007295921695628649
num_spots	Gi/Ba	0.007292936168313946
Round_std	Da/Di	0.007216240795044793
Solidity_inverted_mean	Da/Ba	0.007196061897139949
Solidity_std	Ui/Di	0.007188016219323301
Solidity_mean	Ui/Gi	0.007141164404484424
Angle_inverted_mean	Ua/Da	0.006946859707848585
Solidity_inverted_mean	Di	0.006885310117195842
Round_std	Ua/Da	0.006870840864009686
num_spots_inverted	Ga/Gi	0.006859863398047561
Round_std	Ga/Da	0.006830233815609765
Solidity_mean	Gi/Di	0.006823199218385478
Round_std	Ga/Gi	0.006820251653735121
AR_std	Da/Ba	0.006809156839541419
Round_std	Di/Ba	0.006767627917945163
Angle_inverted_mean	Di/Ba	0.006734867435956415
Round_std	Gi/Ba	0.006590102197450709
Round_std	Ga	0.006554848236521749
AR_std	Ua	0.006468046402432037
Angle_mean	Gi/Ba	0.0064098172489274186
AR_std	Ua/Da	0.006406216305904433
Solidity_inverted_mean	Da/Di	0.0063740215208289985
Solidity_inverted_mean	Ua/Da	0.006280604874395523
MinFeret_std	Ga	0.006228061194683443
Angle_inverted_mean	Ua	0.006210383979082801
FeretAngle_mean	Gi/Di	0.006177572148032162
Round_std	Ua	0.006044851894875136
MinFeret_std	Ga/Da	0.006008958952020582
Angle_inverted_mean	Ga/Gi	0.005952478554450247
Angle_inverted_mean	Gi/Ba	0.005902577877852089
AR_inverted_std	Ga/Da	0.005820402042990724
AR_inverted_std	Ga	0.005802171787751775
Angle_mean	Ga/Ba	0.005782929035923701
AR_inverted_std	Ua/Ga	0.0057356360299408715
Solidity_mean	Ua/Gi	0.005729854449787686
num_spots_inverted	Gi/Da	0.005569032481325564
MinFeret_std	Ua/Ga	0.005563285567366294
Circ._mean	Gi/Di	0.005552171509976445
FeretAngle_mean	Ba	0.0054400258453937145
num_spots	Ua/Ui	0.00536473880638888
Solidity_inverted_mean	Ui/Di	0.005234984511974461
FeretAngle_inverted_mean	Ua/Ga	0.005199958687749473
Round_std	Ua/Ba	0.00509797446991378
num_spots	Da	0.005084472677174268
RawIntDen_inverted_mean	Gi/Ba	0.005030336076376152
Solidity_inverted_mean	Ba	0.0049977060214616564
Solidity_inverted_mean	Ga	0.0049226405590939715
RawIntDen_inverted_mean	Di	0.00488234250156383
Solidity_inverted_mean	Ga/Da	0.004864548116043088
Angle_inverted_mean	Da/Di	0.0048348977110036495
num_spots_inverted	Gi/Ba	0.004739052022915913
Angle_mean	Ua/Da	0.004668096714649961
FeretAngle_mean	Ga	0.00464229042161568
FeretAngle_mean	Ga/Ba	0.004595877075408872
AR_std	Ba	0.004582641876099469
FeretAngle_inverted_mean	Da/Ba	0.004567906141811573
AR_inverted_mean	Ua/Ga	0.00456730894512114
Round_std	Di	0.0045667812297771615
FeretAngle_mean	Ga/Da	0.004402517656094895
Solidity_inverted_std	Ua/Ui	0.00437307708203627
%Area_inverted_mean	Ua/Gi	0.004325671405326026
num_spots	Di	0.004219785625255268
FeretAngle_inverted_mean	Ba	0.0042057803175417074
Angle_mean	Ua	0.004119145626347631
Solidity_mean	Di/Ba	0.00408580278854187
