feat	param	r2
%Area_std	Gi/Di	1.0
%Area_std	Gi/Ba	1.0
%Area_std	Di	1.0
%Area_std	Da/Di	1.0
%Area_std	Da/Ba	1.0
%Area_std	Da	1.0
%Area_std	Ui/Di	1.0
%Area_std	Di/Ba	1.0
%Area_std	Ui/Gi	1.0
%Area_std	Gi	1.0
%Area_std	Ui/Da	1.0
%Area_std	Ga	1.0
%Area_std	Gi/Da	1.0
%Area_std	Ba	1.0
%Area_std	Ua/Da	1.0
%Area_std	Ua/Gi	1.0
%Area_std	Ua/Di	1.0
%Area_std	Ua/Ba	1.0
%Area_std	Ua/Ga	1.0
%Area_std	Ga/Gi	1.0
%Area_std	Ga/Da	1.0
%Area_std	Ua/Ui	1.0
%Area_std	Ga/Di	1.0
%Area_std	Ga/Ba	1.0
%Area_std	Ui	1.0
%Area_std	Ua	1.0
%Area_std	Ui/Ba	1.0
