feat	param	r2
AR_inverted_std	Ga/Da	0.005820402042990724
AR_inverted_std	Ga	0.005802171787751775
AR_inverted_std	Ua/Ga	0.0057356360299408715
AR_inverted_std	Ua/Ui	0.0032879431231467304
AR_inverted_std	Gi/Di	0.0022447843830519787
AR_inverted_std	Ga/Gi	0.0013319880611573076
AR_inverted_std	Da/Di	0.001194378517057948
AR_inverted_std	Gi	0.0010350235571400246
AR_inverted_std	Di	0.0008702153790522971
AR_inverted_std	Ua/Di	0.0008332616344652877
AR_inverted_std	Ui/Da	0.0007670766673745222
AR_inverted_std	Gi/Da	0.0007658789591826753
AR_inverted_std	Ui	0.0007085814636046406
AR_inverted_std	Gi/Ba	0.0005164514654428798
AR_inverted_std	Ui/Gi	0.00036921200620188
AR_inverted_std	Ga/Ba	0.0003632776801759663
AR_inverted_std	Ga/Di	0.00022814764750156424
AR_inverted_std	Da/Ba	0.00016337256978393722
AR_inverted_std	Ua/Ba	0.00015024571514032914
AR_inverted_std	Ua	0.00014854890546922572
AR_inverted_std	Ua/Gi	0.00014665978231620524
AR_inverted_std	Da	9.72961864432742e-05
AR_inverted_std	Ua/Da	8.926379063567413e-05
AR_inverted_std	Ba	6.177219111525023e-05
AR_inverted_std	Ui/Di	3.656847274147168e-05
AR_inverted_std	Di/Ba	2.398955127436153e-05
AR_inverted_std	Ui/Ba	2.4924701735873356e-07
