feat	param	r2
Angle_inverted_mean	Ui/Ba	0.04269785700817974
Angle_inverted_mean	Ui/Gi	0.023362055624393974
Angle_inverted_mean	Da/Ba	0.021955090188791937
Angle_inverted_mean	Ui	0.01724053846953877
Angle_inverted_mean	Ba	0.01684684637258005
Angle_inverted_mean	Ui/Di	0.016122509000618512
Angle_inverted_mean	Ua/Ga	0.016023253757997624
Angle_inverted_mean	Ui/Da	0.014854216744015325
Angle_inverted_mean	Ga/Ba	0.011364406643365799
Angle_inverted_mean	Ua/Da	0.006946859707848585
Angle_inverted_mean	Di/Ba	0.006734867435956415
Angle_inverted_mean	Ua	0.006210383979082801
Angle_inverted_mean	Ga/Gi	0.005952478554450247
Angle_inverted_mean	Gi/Ba	0.005902577877852089
Angle_inverted_mean	Da/Di	0.0048348977110036495
Angle_inverted_mean	Ga/Da	0.0035826072386228036
Angle_inverted_mean	Ua/Ba	0.003526937522462914
Angle_inverted_mean	Ga	0.003289042559152855
Angle_inverted_mean	Di	0.0025768528090155396
Angle_inverted_mean	Ua/Ui	0.0019779676999452933
Angle_inverted_mean	Gi/Da	0.0016725894796397744
Angle_inverted_mean	Ua/Gi	0.00140558382523015
Angle_inverted_mean	Gi	0.001254435896059336
Angle_inverted_mean	Gi/Di	0.0009293506924420436
Angle_inverted_mean	Da	0.0007299743594481045
Angle_inverted_mean	Ua/Di	0.00013594596523880398
Angle_inverted_mean	Ga/Di	5.385623409670526e-05
