feat	param	r2
Solidity_std	Ui/Ba	0.02553652813197005
Solidity_std	Ua/Da	0.024294715797168243
Solidity_std	Ua	0.023684825181707225
Solidity_std	Da/Ba	0.015849811940155445
Solidity_std	Ga/Da	0.013556151146207118
Solidity_std	Ga	0.013378935652068824
Solidity_std	Ba	0.0100817876746353
Solidity_std	Ui	0.009992245976111702
Solidity_std	Ui/Gi	0.009192403196016885
Solidity_std	Gi/Ba	0.008318673169097068
Solidity_std	Ui/Da	0.008191045982574918
Solidity_std	Ua/Ga	0.00778403499908642
Solidity_std	Di/Ba	0.007360647187448666
Solidity_std	Ui/Di	0.007188016219323301
Solidity_std	Ua/Di	0.003047197883656927
Solidity_std	Ga/Di	0.002557003492567933
Solidity_std	Ga/Ba	0.002178459355912654
Solidity_std	Ua/Gi	0.0017009018160004663
Solidity_std	Da/Di	0.0010319568999834772
Solidity_std	Gi/Di	0.0009770000389928146
Solidity_std	Da	0.0007642004212005116
Solidity_std	Gi	0.0002791575096310339
Solidity_std	Di	0.0001037454733168186
Solidity_std	Ua/Ui	9.984819590069804e-05
Solidity_std	Gi/Da	5.8803283180752786e-05
Solidity_std	Ga/Gi	1.5351719385714446e-05
Solidity_std	Ua/Ba	2.203587792348749e-06
