feat	param	r2
X_mean	Di	0.0014795164589282983
X_mean	Gi/Di	0.0014379554893484414
X_mean	Da/Di	0.001245608086012262
X_mean	Ui/Di	0.0008143588370852495
X_mean	Ga/Di	0.00067762974420571
X_mean	Ua/Di	0.00040185228608580204
X_mean	Di/Ba	0.00039845623623668835
X_mean	Ua/Gi	0.00038248951157993094
X_mean	Ua	0.0003214726957471159
X_mean	Gi	0.00031550406029912104
X_mean	Ua/Da	0.0003051678977078476
X_mean	Gi/Da	0.0002795660971226521
X_mean	Ui/Ba	0.00018410673081237228
X_mean	Ua/Ga	7.867836624808611e-05
X_mean	Ui	7.531487499745637e-05
X_mean	Gi/Ba	7.216998499315341e-05
X_mean	Ui/Da	6.964165686917934e-05
X_mean	Ua/Ba	5.776638903587372e-05
X_mean	Ga/Da	3.922181612303621e-05
X_mean	Ga	3.729334572244447e-05
X_mean	Ga/Gi	2.374740523580776e-05
X_mean	Da/Ba	1.074839395331928e-05
X_mean	Da	4.876889310390098e-06
X_mean	Ui/Gi	3.478007592483401e-06
X_mean	Ua/Ui	5.106078351246879e-07
X_mean	Ga/Ba	7.844449456673175e-08
X_mean	Ba	1.182368647434373e-10
