feat	param	r2
Y_mean	Ga/Gi	0.0006146787013051602
Y_mean	Di/Ba	0.0005585769436606824
Y_mean	Gi/Da	0.0005267130781408946
Y_mean	Gi	0.0004901070480276548
Y_mean	Ui/Gi	0.0004736283234205718
Y_mean	Da/Ba	0.0004586571342120038
Y_mean	Ua/Gi	0.0004497777634829836
Y_mean	Ga/Ba	0.0003065244066570161
Y_mean	Di	0.00026254277847415075
Y_mean	Ba	0.00025157025984900994
Y_mean	Ua/Ba	0.0002370901583438334
Y_mean	Gi/Di	0.00021684335024685364
Y_mean	Ui/Ba	0.00017333685823917033
Y_mean	Da	5.797515384609042e-05
Y_mean	Ua/Ui	3.904354869432858e-05
Y_mean	Ga	3.1312511380110486e-05
Y_mean	Ua/Di	2.8057436617046072e-05
Y_mean	Da/Di	2.763299643104844e-05
Y_mean	Ga/Di	2.241579037143282e-05
Y_mean	Ua/Da	1.0184504435462038e-05
Y_mean	Ui	8.533325169257644e-06
Y_mean	Ga/Da	6.852419853431435e-06
Y_mean	Gi/Ba	4.332127131578822e-06
Y_mean	Ua	5.833494897133917e-07
Y_mean	Ui/Di	5.398145157542444e-07
Y_mean	Ui/Da	3.597505309205218e-07
Y_mean	Ua/Ga	8.606158885537951e-08
