feat	param	r2
num_spots	Da/Ba	0.04430780602000817
num_spots	Ba	0.038844643760280406
num_spots	Di/Ba	0.033741642626351265
num_spots	Ui/Ba	0.03185973210447901
num_spots	Ua/Da	0.03175425842572466
num_spots	Ua	0.026685643102544843
num_spots	Ui/Gi	0.02190772027333332
num_spots	Ga/Ba	0.017044849522687144
num_spots	Ua/Di	0.016205190189929497
num_spots	Gi/Da	0.015216309910536685
num_spots	Ga/Gi	0.01318363397089184
num_spots	Gi	0.011803823098922916
num_spots	Ga/Di	0.01140396548591005
num_spots	Gi/Di	0.011403007269365273
num_spots	Ua/Ga	0.010497639899529343
num_spots	Ga/Da	0.010160940832838361
num_spots	Ga	0.007578928711477251
num_spots	Gi/Ba	0.007292936168313946
num_spots	Ua/Ui	0.00536473880638888
num_spots	Da	0.005084472677174268
num_spots	Di	0.004219785625255268
num_spots	Ua/Ba	0.003949204418829622
num_spots	Ua/Gi	0.003787768292549676
num_spots	Da/Di	0.0011219270372008205
num_spots	Ui	0.0010821263771241263
num_spots	Ui/Da	0.00028578401178613877
num_spots	Ui/Di	0.00020713331174782024
