feat	param	r2
%Area_inverted_std	Da/Di	1.0
%Area_std	Da/Di	1.0
%Area_mean	Da/Di	0.012094353864405716
Angle_mean	Da/Di	0.011774145247472556
FeretAngle_mean	Da/Di	0.010144059023756702
Round_std	Da/Di	0.007216240795044793
Solidity_inverted_mean	Da/Di	0.0063740215208289985
Angle_inverted_mean	Da/Di	0.0048348977110036495
Solidity_mean	Da/Di	0.004070566408134635
AR_std	Da/Di	0.003525594375964003
RawIntDen_inverted_mean	Da/Di	0.0033502166294709923
MinFeret_std	Da/Di	0.0023921510780137156
Solidity_inverted_std	Da/Di	0.0022212468426097143
X_mean	Da/Di	0.001245608086012262
AR_inverted_std	Da/Di	0.001194378517057948
FeretAngle_inverted_mean	Da/Di	0.0011594147748033024
num_spots	Da/Di	0.0011219270372008205
Solidity_std	Da/Di	0.0010319568999834772
MinFeret_inverted_std	Da/Di	0.0009954765206655614
AR_inverted_mean	Da/Di	0.0007779493997123188
X_inverted_mean	Da/Di	0.0002014091445856625
num_spots_inverted	Da/Di	0.00019717933326446335
Circ._mean	Da/Di	0.00019357810798736885
%Area_inverted_mean	Da/Di	0.00017089789751356665
Y_inverted_mean	Da/Di	3.609936552284587e-05
Y_mean	Da/Di	2.763299643104844e-05
