feat	param	r2
%Area_inverted_std	Da	1.0
%Area_std	Da	1.0
num_spots	Da	0.005084472677174268
%Area_mean	Da	0.0016028118736383101
num_spots_inverted	Da	0.001440448388450033
Round_std	Da	0.0008079091011203854
Solidity_std	Da	0.0007642004212005116
Angle_inverted_mean	Da	0.0007299743594481045
Circ._mean	Da	0.0006196038219264954
Solidity_mean	Da	0.00046266868241628956
Angle_mean	Da	0.00044727954013468185
Solidity_inverted_mean	Da	0.00031915707805552085
FeretAngle_mean	Da	0.0002172814540419843
Solidity_inverted_std	Da	0.00012569135862017244
RawIntDen_inverted_mean	Da	0.00012491008895709754
AR_std	Da	0.0001012817143739575
AR_inverted_std	Da	9.72961864432742e-05
MinFeret_std	Da	9.285795979352418e-05
Y_mean	Da	5.797515384609042e-05
MinFeret_inverted_std	Da	2.0065527320811682e-05
FeretAngle_inverted_mean	Da	1.8186256244279164e-05
AR_inverted_mean	Da	1.2016927256164323e-05
%Area_inverted_mean	Da	9.171348215986086e-06
X_inverted_mean	Da	6.631073666607534e-06
X_mean	Da	4.876889310390098e-06
Y_inverted_mean	Da	7.78757058839119e-11
