feat	param	r2
%Area_std	Di/Ba	1.0
%Area_inverted_std	Di/Ba	1.0
RawIntDen_inverted_mean	Di/Ba	0.06486145223238904
%Area_inverted_mean	Di/Ba	0.06122609854553762
num_spots	Di/Ba	0.033741642626351265
%Area_mean	Di/Ba	0.020967915296873474
Circ._mean	Di/Ba	0.013453558019785428
Solidity_std	Di/Ba	0.007360647187448666
Round_std	Di/Ba	0.006767627917945163
Angle_inverted_mean	Di/Ba	0.006734867435956415
Solidity_mean	Di/Ba	0.00408580278854187
Angle_mean	Di/Ba	0.0015487257911580565
AR_std	Di/Ba	0.001032097748551175
FeretAngle_inverted_mean	Di/Ba	0.0009124978191197286
num_spots_inverted	Di/Ba	0.0006902684776930457
X_inverted_mean	Di/Ba	0.0006244514140264501
FeretAngle_mean	Di/Ba	0.000569163634640435
Y_mean	Di/Ba	0.0005585769436606824
X_mean	Di/Ba	0.00039845623623668835
Solidity_inverted_mean	Di/Ba	0.00031293930635223344
MinFeret_std	Di/Ba	0.00012524501121935483
Solidity_inverted_std	Di/Ba	8.75423164821143e-05
MinFeret_inverted_std	Di/Ba	2.577463707564842e-05
AR_inverted_std	Di/Ba	2.398955127436153e-05
AR_inverted_mean	Di/Ba	1.3899264799888122e-05
Y_inverted_mean	Di/Ba	2.144046045260417e-06
