feat	param	r2
%Area_inverted_std	Di	1.0
%Area_std	Di	1.0
Angle_mean	Di	0.00912956323288383
FeretAngle_mean	Di	0.008907681871119566
%Area_mean	Di	0.008038950890207675
Solidity_inverted_mean	Di	0.006885310117195842
RawIntDen_inverted_mean	Di	0.00488234250156383
Round_std	Di	0.0045667812297771615
num_spots	Di	0.004219785625255268
AR_std	Di	0.0029900261662600958
MinFeret_std	Di	0.0028772838327109085
Angle_inverted_mean	Di	0.0025768528090155396
Solidity_inverted_std	Di	0.002391951935638903
Solidity_mean	Di	0.002007200227338024
X_mean	Di	0.0014795164589282983
FeretAngle_inverted_mean	Di	0.0014762341029785908
MinFeret_inverted_std	Di	0.0012886728009362525
AR_inverted_std	Di	0.0008702153790522971
%Area_inverted_mean	Di	0.0006168594067560429
AR_inverted_mean	Di	0.0005149236777208799
X_inverted_mean	Di	0.0003561927950334054
Y_mean	Di	0.00026254277847415075
Circ._mean	Di	0.00025609241226387525
Solidity_std	Di	0.0001037454733168186
num_spots_inverted	Di	3.409678673471639e-05
Y_inverted_mean	Di	1.8469072116999996e-05
