feat	param	r2
%Area_inverted_std	Ga/Ba	1.0
%Area_std	Ga/Ba	1.0
RawIntDen_inverted_mean	Ga/Ba	0.30233686467729015
%Area_inverted_mean	Ga/Ba	0.273870437506912
%Area_mean	Ga/Ba	0.16617321732061463
Circ._mean	Ga/Ba	0.023047378363138527
num_spots	Ga/Ba	0.017044849522687144
Round_std	Ga/Ba	0.012074471845593182
Angle_inverted_mean	Ga/Ba	0.011364406643365799
Angle_mean	Ga/Ba	0.005782929035923701
FeretAngle_mean	Ga/Ba	0.004595877075408872
Solidity_mean	Ga/Ba	0.003964172352482143
Solidity_inverted_mean	Ga/Ba	0.0030166882906174086
Solidity_std	Ga/Ba	0.002178459355912654
FeretAngle_inverted_mean	Ga/Ba	0.001445268553135426
Solidity_inverted_std	Ga/Ba	0.0005801802759530794
AR_std	Ga/Ba	0.0004434567668373246
MinFeret_inverted_std	Ga/Ba	0.00040880004958454563
AR_inverted_std	Ga/Ba	0.0003632776801759663
num_spots_inverted	Ga/Ba	0.00035230651802620194
Y_mean	Ga/Ba	0.0003065244066570161
AR_inverted_mean	Ga/Ba	0.00027098219100329946
X_inverted_mean	Ga/Ba	0.00026887979774403714
MinFeret_std	Ga/Ba	0.0002322369088154641
Y_inverted_mean	Ga/Ba	1.7530606233218116e-05
X_mean	Ga/Ba	7.844449456673175e-08
